id,narrative_fante
50,"Me pa wo kyew, mepɛ sɛ meka biribi a asi ha wɔ Dormaa Ahenkro nnɛ. Me friend Nhyira ne ɔbarima bi hyiaa nhwehwɛmu wɔ market ho ho — ɛfa sika a wɔtua ma ne nneɛma ho — na ɔbarima no buae no ti nkyɛn na ɔpushii no. Ɔntuu fam paa, nanso ne kɔn yɛ no yaw, na ɔrekyerɛ sɛ ne tiri reto no so dennen. Me din de Muntari, na me wɔ hɔ a ɛsii. Yɛpɛ sɛ yɛreport no yiye, efisɛ ɔbarima no na ɔfii ase nhwehwɛmu no — Nhyira anni biribi bi — na ne ho nnyɛ koraa nnɛ."
51,"Me pa wo kyew, biribi asi ha wɔ Dansoman no, na ɛnyɛ dinn. Me yɔnko Araba rekɔ twa ɔkwan no ho fa market no nkyɛn no, tipper truck bi bɔɔ no ma ɔtuu fam korakoraaa. Ne nan no ahoɔhoɔ, na ɔntumi nnante so koraa — nanso ɔhunu n'adwene na ɔreka. Me de, me yɛ Vida, mewɔ ne ho seesei, na yɛhia obi mmoa yɛn, efisɛ yɛnnim sɛ ne dos no abubu anaa ɛnte saa."
52,"Me pa wo kyew, biribi tia pa ara aba ha wɔ Sunyani na mehia mmoa ntɛm ara. Me yɔnko ba, Appiah, abofra ketewa, ɔtuu nsuo mu na ɔtene wɔ nsuo mu tweaa ansa na yetuu no firii mu. Sɛ yetuii no firii mu no, ɔnnyina yiye na ne bruwa ne ne yafunu hwɛɛ sɛ wɔaswell na ɛhwɛ strange, sɛ biribi yɛ wrong wɔ ne mu. Appiahrehome nanso ɛyɛ weak pa ara na sɛ yefrɛ ne din no, ɔnnsua yiye. Me pa wo kyew, mommoa mmrɛ ha ntɛm ara — ne state yɛ bad pa ara. Mene Maame na mewɔ ha ne nkyɛn seisei na merɛtwɛn."
53,"Me pa wo kyew, biribi bɔne paa abɛsi abofra ketewa bi ha wɔ Bawku. Me hɔhoɔ ba, Adjoa, ɔtuu fam fi bobe dua kɛse bi so wɔ efie anim, na ɛkwan a ɔhwe ase no, ehhh, ɛnyɛ yiye koraa. Ne nsa da so akyinkyin na ɛnyɛ yiye, na ɔsu su su su na ɔntumi nyi ne nsa no mu koraa. Me ne Emefa, mete hɔhoɔ efie no ho pimbirim, na ne maame nni ha enti me na merefrɛ. Me pa wo kyew, yehia mmoa ntɛm paa ɛfiri sɛ abofra no yɛ yaw paa."
54,"Me din de Ramatu. Merefrɛ wo fa biribi a ɛsii wɔ Tamale-Yendi kwan so, Savelugu nkyɛn. Ɔbarima ɔfoforo bi a wɔfrɛ no Asare no, ɔreboa wɔn de cereal sacks yi firi truck mu wɔ ɔkwan ho, na sack baako bɛhwee no firi ɔfa so bɛbɔ no den wɔ ne bruwa so. Ɔgyina hɔ na ɔrekan, nanso ɔkeh sɛ ne nkakra nkakra a ɛwɔ ne bruwa mu no yɛ no yaw, na ɔhome nso yɛ no den kakra. Mesiee wɔ ɔkwan ho na mahunu wɔn, na wɔbɔɔ me kɔ frɛ boa."
55,"Me pa wo kyew, mepɛ sɛ meka accident bi a ɛsii ha Cape Coast ho. Me hɔho ba, Afia, OA taxi bi bɔɔ no wɔ ɔkwan so, beɛ a ɛbɛn market no ho. Ɔyɛ abofra baa, ebia ɔwɔ mfeɛ aduɔson apia. Ebɔ no no yɛɛ hu kakra — ɔwɔ yaw wɔ ne kɔn ho na ogya abisi ne tiri so kakra, nanso ɔrenya na ɔreka asɛm. Me din de Alhassan, me na mɛfrɛ no ɛfiri sɛ ne maame na ɔwɔ ne ho seesei, na wɔrɛbɛhwehwɛ taxi bi de no kɔ clinic."
56,"Me pa wo kyew, me nuabarima Asante wɔ Dormaa Ahenkro ha, kar bɔɔ no wɔ main road ho, na ɛyɛ serious paa. Ɔyɛ aberantew, ɔte sɛ afeha dunkoron anaa aduonu ho, na ɔnan yɛ no yaw paa — ɛte sɛ ɛkrakra, na mogya retu no paa. Meyɛ Nii, megyina ne ho seisei yi na nnipa abɔ dwa ha, nanso obiara nnim deɛ ɔbɛyɛ. Me pa wo kyew, yehia mmoa na eba ntɛm paa, efisɛ ɔntumi nnyina anaa nkɔ biara, na ɛyɛ no yaw paa."
57,"Maaha. Yaa agya. Me din de Kofi, me ne Ofori papa. Ofori yɛ me ba. Ɛnnɛ awiabere yi, Ofori hyew. Yɛwɔ yɛn efie compound ha Tamale. Ɔwɔ cooking fire ho, na nsu a ɛhyehye no tɔɔ ne so — ɛkaa ne bruwa ne ne yafunu so. Ɛnyɛ serious paa — skin no ɛyɛ hɔnn na ɛyɛ no yaw kakra. Ɛberɛ yi, abofra no nantew yiye na ɔsu na ɛnyɛ dodo bio. Nanso me frɛɛ sɛ mibisa — yɛhwɛ, ɛsɛ sɛ yɛde no kɔ hospital anaa yɛtumi treat no ha fie ara?"
58,"Me pa wo kyew, mefrɛ sɛ mekan biribi a ɛsii ha wɔ Nalerigu. Me din de Mensah, na meyɛ won chuankoba no. Wɔn ba baa Elinam, ɔyɛ abesuaba, ɔtuu fam na ɔkaa nsa anaasɛ nan yaw — minnim exactly sɛ dɛn, nanso ɔkyeree ho na ɔsu kakra. Ɛntese sɛ asɛm kɛse bi wɔ hɔ, nkutaa kɛse biara nni hɔ anaasɛ biribi te saa, nanso ne maame ne ne papa pɛ sɛ obi nnim, just in case. Seesei ɔtese sɛ ɔho yɛ, ɔyɛ shaken up kakra nko ara."
59,"Me papa panyin, Nii Laryea, oguu ogya saa anɔpa yi ha Zebilla. Ɔreyɛ dɛ ɔhyehye ne ho fam ogya no ho, na ne ntama no hyew, na ogya no hyew no wɔ ne bruwa ne ne yafunu fam. Felicia na ɔfrɛ me, me na mefrɛ yi. Ɔyɛ opanyin, enti yɛsuro paa, nanso hyew no nyɛ dodo kɔsi fam — ne honam no yɛ hɔhɔ na ɛwɔ mfomfom bi wɔ baabiara. Me pa wo kyew, yehia sɛ monyɛ yɛn adwemma sɛ deɛn na yɛnyɛ no ansa na yɛde no kɔ ayaresabea."
60,"Me pa wo kyew, mepɛ sɛ meka biribi a ɛbaa ha Cape Coast. Me nua ba Boateng — ɔwɔ mfeɛ dunsia mu ma — ɔretrɛ sɛ ɔbɛkɔ twa drainage channel bi a ɛwɔ ɔkwan nkyɛn, na obi a asisi no afi osu a ɛhyɛ no ma firi ɛsiane sare. Nnipa bi a wɔwɔ hɔ twitwii no firi mu ntɛm, Onyame adom. Ɔte ne ho na ɔreka asɛm, nanso ne nsa hyɛɛ no yaw bere a wɔretrɛ no firi mu — ɛhwetɛ na ɛyɛ no yaw paa. Me ne Alhassan wɔ ha, mɛka ne ho, obi betumi aba hɔ nhwɛ no yiye?"
61,"Me pa wo kyew, mepɛ sɛ meka asɛm bi a ɛsii Cape Coast-Elmina ɔkwan so. Ɔbaa bi a wɔfrɛ no Memunatu, ɔresiw bicycle wɔ ɔkwan ho a, kar bi a ɛfi n'akyi bae kɔɔ no so kakra, na ɔtuu fam pintinn. Ɔtuu n'nsa so — seesei ɛawu na ɔntumi nnye no soro koraa. Me din de Baffour, na mereba firi ɔkwan foforo so na m'ani hunuu biribiara a ɛsii. Ɛhia sɛ mmoa bi bɛba ntɛm efisɛ yaw no yɛ den paa."
62,"Me pa wo kyew, biribi asi fie bi ha Ashiaman na mepɛ sɛ meka ho asem. Me yɔnko Abubakar, mmarima bi bɔɔ no — wɔbɔɔ no yiye wɔ ne nsa so, na nsa no ahoboa, na ɔntumi nnyina no yiye. Mene Mensah, mete beaebi benkum na mehuu biribi a esii no mu. Ɛyɛ no yaw, nanso ɔte hɔ rekasa — ɔnkolapuse oo, ɔnhwere ne ho oo. Yɛhia obi a ɔbɛba abɔ no kwan, anaasɛ wɔmma yen adwene sɛ yɛnyɛ dɛn."
63,"Me pa wo kyew, biribi asi ha wɔ Goaso na mepɛ sɛ mebɛka ho asɛm. Me din de Ofori, na merɛfrɛ efa ɔbaa bi ho — wɔfrɛ no Naa Dedei — aboboyaa bɛto no wɔ ɔkwan so na ɔtuu fam paa. Ɔrekyekyere ne kɔn na ɔreka sɛ ne tiri yɛ no yaw, nanso ɔte hɔ na ɔreka kakra. Ɛnyɛ den paa nanso ɔhia mmoa efisɛ ɔntumi nnye ne kɔn yiye."
64,"Me ba Amoah na ɔreboa me adwuma bi ha fie ha Yendi, na ɔnya krataa tiawa bi wɔ n'nsa so firi adwuma nneɛma no mu baako ho. Ɛnyɛ dinn bebree, wound tiawa nko ara, nanso me ne Edem na mepɛ sɛ meka ho asɛm kakra. Ɔho yɛ, suro tiawa nko ara, na mogya a ɛretu no no asa bebrebe adeɛ."
65,"Me pa wo kyew, merefrɛ efisema me nua ba Muntari aburn no na me werɛ ahow paa efisema no. Na yɛwɔ Kintampo ho, ɔkwan a ɛkɔ Kumasi no so, na saa bere no na ɛsii — na ɔreboaboa biribi na ogya hyew no, n'anim fa bruwa ne yafunu ho no. Ɔyɛ abofra, maybe mfeɛ edu nsia na ɔwɔ no, na ahooden no wɔ saa bea no yɛ hu paa — ɛyɛ kɔkɔɔ na mpoboano wɔ so, nanso ɔda hɔ renya ne ho a ɔreka asem, Nyame adom. Me ne Esi, ne auntie, na mewɔ ne nkyɛn seesei, nanso yehia sɛ yɛnhunu deɛ yɛbɛyɛ ansa na yɛataa kɔ hospital."
66,"Me din de Dzifa. Merefrɛ wo fa abofra baa bi ho asɛm — ɔtena Cape Coast ha. Naa dɛ, ɔyɛ adwuma wɔ tailoring shop bi mu, na ɔreyɛ adwuma wɔ sewing machine so a, ne nsa slip yɛɛ, na needle no kɔɔ mu ne nsateaa mu. Mogya retu, nanso ɛketewa — na ɔte ne ho, nanso ɔreyi yi yi kakra, efisɛ ehuru no. Yɛde ntoma abɔ so, nanso yɛpɛ sɛ yɛhunu sɛ ɔhia sɛ ɔbɛkɔ baabi ama wɔayi no yiye na wɔabɔ no bandage, efisɛ asotwe no yɛɛ dɔɔso paa."
67,"Me pa wo kyew, mepɛ sɛ meka accident bi a ɛsii ha Suhum. Me wɔfa Asante, ɔyɛ opanyin, aboboyaa bi bɔɔ no wɔ ɔkwan so nnora anwummerɛ. Aboboyaa no bɔɔ no wɔ n'afã so, bɛn ne bruwa ne yafunu, na ɔtuu fam yiye. Ramatu na ɔfrɛ me — mena me ara na mefrɛ wo yi. Na mewɔ beae no ho bere a ɛsii, na mede no kɔɔ ɔkwan no ho. Ɔte hɔ na ɔreka asɛm nanso ɛyɛ no yaw — ɛnyɛ den koraa nanso ɔhia sɛ oduruyɛfo bi nhwɛ no."
68,"Me pa wo kyew, mepɛ sɛ merebu nsɛm bi a ɛsii opanyin bi ho wɔ Yendi ha. Me nua a ɔte me nkyɛn no, Asare, ɔyɛ opanyin paa — onipa bi baa ɔkɔ kaa no wɔ ne fi, wɔbuaa ne nsa yiye paa na ɛaho no saa nnɛ. Me din de Owusu, mete ne nkyɛn, na sɛ migyee nne no a miiba pɛɛ ahu deɛ asii. Ɔnnyaw sɛ ɔbɛwu, nanso ne nsa no eye no yaw paa na ɔntumi nnye no soro. Yehia obi a ɔbɛba aboa no, anaasɛ wɔmma yen nsɛm a yɛnyɛ."
69,"Me din de Dela. Merɛfrɛ sɛ merebu nsɛm accident bi a ɛsii Cape Coast ha. Ɔbarima kɔraa bi a wɔfrɛ no Kpodo — ɔte sɛ ɔwɔ ne mfeɛ aduonu ana aduonu mmienu hɔ — trotro bi bɔɔ no wɔ ɔkwan so kakra yi ansa. Ne nan hurt no paa — ɛhyɛɛ, na ɔse ɛyɛ no yaw pa ara — nanso ɔda hɔ resusu na rereka. Yɛawie de no akɔtena ɔkwan nkyɛn, na obi wɔ ne ho ana. Me pa wo kyew, yehia mmoa sɛ yɛnhunu nea yɛnyɛ nnɛ, anaasɛ ɔsɛ ɔnkɔ hospital anaa?"
70,"Me pa wo kyew, merefrɛ sɛ maka biribi a ɛsii ha wɔ Takoradi market ho. Me din de Hamza, na me nua kumaa Yakubu — ɔhwe fam wɔ market stalls no mu biako ho. Ɔbɔɔ ne tiri wɔ fam no so, nanso ɔho yɛ, ɔte ne ho, na ɔka sɛ ɛyɛ no yaw kakra wɔ ne kɔn akyi. Ɛnyɛ saa kɛse, nanso yɛpɛɛ sɛ yɛbɔ mu report no yiye."
71,"Me pa wo kyew, mepɛ sɛ meka accident bi a ɛsii ha Navrongo. Me din de Muntari, na merɛfrɛ fa me nifa Asare ho — shared taxi bi bɔɔ no wɔ ɔkwan so seisei ara. Ne ho yɛ, ɛnyɛ dɛm dɛm, nanso ne nan hyɛɛ no yaw kakra wɔ hɔ. Ɛyɛ me yaw na eye no yaw wɔ hɔ. Yɛdwene sɛ anka cut anaa bruise ara na ɛyɛ — fracture biara nni mu — nanso yɛpɛ sɛ oduruyɛfo bi hwɛ no yiye na yɛhunu nokwasɛm."
72,"Me pa wo kyew, merefrɛ sɛ mɛbɔ accident bi ho dawuru a ɛsii ha wɔ Hohoe. Me nuabaa Maame, ɔyɛ abofra baa, articulated truck bi bɔɔ no wɔ ɔkwan so na ɔtuu fam yiye paa. Baabi a ɛyɛ no yaw pa ara ne ne kɔn ne ne tiri — ɔte ase dada, nanso ɔka sɛ ɛyɛ no yaw na ɔntumi nsa ne kɔn yiye. Me ne Kweku, mena ne ho ha seesei, na yehia mmoa efisɛ yɛsuro sɛ yɛbɛsa no."
73,"Me pa wo kyew, mepɛ sɛ meka biribi a aba ho — efi abofra baako a ɔwɔ Mankessim ho, wɔ Kumasi-Cape Coast ɔkwan so. Me din de Vida, na abofra no din de Abubakar — ɔwɔ mfe du num anaasɛ du nsia ntam. Ɔtuu wɔ nsuw bi a ɛwɔ ɔkwan ho — mese ɛyɛ drainage channel anaasɛ biribi saa — na ɔkɔɔ ase kɔɔ fam kakra ansa na nnipa bi a wɔwɔ ho no tuu no firi mu. Ɔrehome yiye seesei, Onyame adom, nanso ne nsa no huri — wɔ sɛ wɔreton no ba no nsa no hwe yaw, na ɛahyɛw na ɔkyekyere no te sɛ biribi nyɛ pɛ. Yɛpɛ sɛ obi ba hwe no yiye, efisɛ ne tirim atsɛtsɛ na wanye den kumaa biara wɔ seesei."
74,"Me pa wo kyew, biribi asi Takoradi-Cape Coast highway no so, Anomabo ho. Okunaní bi a wɔfrɛ no Selorm — mete sɛ ɔwɔ afe duduasa bi — kar bɔɔ no. Ɔtuu fam no, ɔhurɔɔ ne tiri ne ne kɔn yiye wɔ ɔkwan no so, na mogya retu no fi ne tiri mu, nanso ɔrehome na ɔrekan kakra. Me na me yɛ Akosua — na meretu kwan no so ara na esii, na nnipa bi aho hyia ne ho hɔ seesei. Yɛhia mmoa — mommra ntɛm, efisɛ abofra no hia oduruyɛfo ɔhwɛ no."
75,"Me din de Maame, na merefrɛ mo sɛ mɛka biribi a ɛyɛ den paa a ɛsii opanyin bi ho faa Kintampo ho, wɔ ɔkwan a ɛkɔ Tamale no so. Ne din de Wiredu, na nnipa bi bɔɔ no — wɔbɔɔ no yaw paa wɔ ne tiri mu na wɔ ne kɔn so. Ɔyɛ opanyin, na ɔntumi nnante, ɔda fam kornkorɔ, na mogya retu fii ne tiri mu. Me pa wo kyew, situation no yɛ dɛn paa — ɔhia mmoa ntɛm ntɛm ansa na biribi a ɛyɛ hu bɛba n'ase."
76,"Me din de Fuseini, me pa wo kyew, mepɛ sɛ meka accident bi a ɛsii Takoradi-Cape Coast highway no so, Anomabo nkyɛn. Opanyin bi, Owusu, kar bi bɔɔ no, na ɔtuu fam kesee wɔ ɔkwan no so. Ɛte sɛ ne nan anaa ne nsa yɛɛ no bɔne, efisɛ ɔntumi nnante no yiye, na ɛyɛ ne yaw paa — nanso ɔte hɔ rekan kakra. Yɛayi no afi ɔkwan no so, na nnipa bi wɔ ne ho seesei, nanso ɔhia mmoa na ɛmma ntɛm paa."
77,"Me ba Kofi hyɛɛ accident wɔ Takoradi-Cape Coast highway no so, bebiara a ɛbɛn Anomabo. Me ne ne maame, me din de Elinam. Kar bi bɔɔ no wɔ ɔkwan ho no — ɔyɛ abofra, ne mfe nyinaa bɛyɛ sixteen — na ɔtuu fam na ɔkaa ne nkyɛn, bebiara a ɛbɛn ne bruwa ne ne yafunu. Ɔnni baabi a ɛyɛ den paa — ɔte hɔ renya ne ho na ɔnante, nanso ɛyɛ no yaw kakra, enti meba me brɛ nsɛm no. Yɛda hɔ ara bebiara a accident no si hɔ no."
78,"Me pa wo kyew, biribi asi ha wɔ Techiman na mehia mmoa. Me din de Efua, na merefrɛ ho fa me nuabarima Yaw ho — ɔtuu fam nnawotwe yi wɔ efie mu na ɔbuee ne tiri wɔ fam mu yie paa. Ɔte hɔ na ɔhunu hwee, nanso ɔreka sɛ ne kɔn yɛ no yaw na ne ho te sɛ ɔyɛ confused kakra. Yɛsuro efisɛ ɔnsɛ ne ho ankasa seesei."
79,"Me pa wo kyew, mepɛ sɛ meka biribi a asiane wɔ me ba Kpodo ho wɔ ha wɔ yɛn compound mu wɔ Bolgatanga. Abofra no retweri ade bi wɔ soro — minnim dea ɔpɛɛ sɛ ɔyɛ wɔ hɔ — na ɔtuu fam na ɔkɔhwie yiye wɔ ne nsa so. Ne nsa aho afra anaa aswell up anaa, na ɔreka sɛ eye no yaw paa, nanso ɔnte ase daa — ɔte ase na ɔreska. Ɔyɛ abofra ketewa, anka mfirinha edu nnum, na mehu sɛ na aswelling no nkɔ ase koraa. Me pa wo kyew, obi bɛtumi aba mboa yɛn anaa kyere me dea manyɛ?"
80,"Me pa wo kyew, mepɛ sɛ meka biribi a ɛsii opanyin bi ha Techiman. Me hɔkɔ Mensah, ɔyɛ opanyin paa, ɔreyɛ adwuma bi — mese ɔrɛtwa biribi anaa ɔreyɛ afuom adwuma bi — na ɔhaw ne nsa, anaa ne nsa ketewa no mu, minnhunuu no yiye. Amoah na ɔfrɛ me, mene ɔkyer me a mrefrɛ no. Ennyɛ serious koraa — the cut yɛ ketewa na ɔnam yiye, nanso efisɛ ne din mu, yɛkaa sɛ ɛsɛ sɛ yɛfrɛ. Ɔda ase saa nnɛ no, nanso yɛpɛ sɛ yɛhunu sɛ ɔhia sɛ ɔmbɛba hospital, anaa yɛbɛtumi clean no wɔ fie ara."
81,"Maaha. Me ba Mawuli, pragyia bi bɔɔ no nnɛ awia yi wɔ Hohoe-Jasikan kwan so. Bike no bɔɔ no, na ɔtuu fam, na eye sɛ ne nsa ahu yaw — ɔsu na ɔkyere no, nanso ɔtumi tete ne nsatea kakra. Me ne Boateng, me ne ne agya. Me pa wo kyew, yehia onipa bi mmra nhwɛ no, efisɛ ɛwom sɛ ɔho hɔ da no so, nanso mempɛ sɛ mede abofra ba danger mu — momboa me!"
82,"Me pa wo kyew, mepɛ sɛ meka biribi a esii ha Wa Central. Me hɔho ba, Amoah, aboboyaa bɛhyɛɛ no wɔ ɔkwan so ntɛm yi ara. Awopaboa no yɛ aberante, ebia wɔ afeɛ ɔha du nwɔtwe anaa nkron mu, na ne nan ayaw yiye wɔ accident no mu — nan no ahunu na ɔntumi agyina so koraa. Ɔnkolapuse anaa hwee saa, nanso ɛyɛ no yaw paa na yɛsuro yiye. Me din de Fatima, na yɛhia obi a ɔbɛba mmoa yɛn anaasɛ ɔkyerɛ yɛn deɛ yɛnsɛ yɛ."
83,"Me din de Nhyira, na merefrɛ mo sɛ mɛka biribi a ɛsii Takoradi market mu nnɛ. Opanyin bi, Fuseini, mmarimafo bi buae no faa stalls no ho — wɔpeaw no, wɔbɔ no, na ɔtuu fam. Nsa no yɛɛ no yaw wɔ sɛ ɔtuu fam no, nanso ɔho yɛ, enye den papa — eye swelling kakra na maybe cut kakra nso wɔ hɔ. Onipa bi a ɔwɔ ho no boa no tena ase, na ɔreste seesei, nanso mesiim sɛ mɛfrɛ mo, efisɛ ɔyɛ opanyin, na yaw na ekyekyere me tirim."
84,"Me pa wo kyew, mefrɛ sɛ merebɔ nsɛm fa accident bi ho a esii Accra-Cape Coast ɔkwan so, Winneba nkyɛn baabi. Me nuabaa Akua naa ɔwɔ trotro mu a kar foforɔ bi bɔɔ no, na waye no yaw wɔ ne nan so — nan no ahohow na ɔntumi nhyɛ so koraa. Ɔyɛ ababaawa kɛse, afe aduɔkron nkuron benkum, na seesei nnipa bi wɔ ɔkwan nkyɛn no reboa no. Me din de Nii na merekɔ ne nkyɛn seesei, nanso mepɛɛ sɛ mefrɛ kan na obi bɛba ako hwɛ no."
85,"Me pa wo kyew, mepɛ sɛ meka biribi a esii abofra bi ho faa Hohoe-Jasikan road ho. Me din de Efua, na abofra no din de Ibrahim — ɔyɛ aberante ketewa, enye sɛ ɔyɛ teenager. Wohyew no wɔ n'akyi kɔn ho, nanso enye sɛ ɛyɛ den koraa — ɛda adi sɛ ɛyɛ red kakra na blister ketewa bi nso wɔ hɔ. Yɛdwene sɛ nsu hyew bi na ɛka no. Ɔte hɔ na ɔtumi kasa, nanso yɛpɛ sɛ obi bɛba na wahwɛ no yiye."
86,"Me nana, Gifty, kar bi bɔɔ no Tarkwa ha, yɛn efie nkyɛn. Ɔyɛ ɔpanyin, na kar no bɔɔ no yiye paa — nʼnan asɛ na mogya pii retu. Me din de Kwabena, meyɛ nʼasefo. Me pa wo kyew, ɔntumi agyina hɔ koraa na ɔreda asu sɛ yaw no aye no den. Yɛn suro ma no paa."
87,"Me pa wo kyew, merefrɛ efisɛ me neighbor Alhassan hyɛɛ accident wɔ ɔkwan so ɛnnɛ. Ɔresan aba fie wɔ Darkuman ha a, OA taxi bi bɔɔ no, nanso Onyame adom, ɛnyɛ den paa. Ɔnsa yɛ no yaw kakra na ɛwɔ cut wɔ hɔ, nanso ɔntumi nante yiye na ɔhunu hwee. Yɛwɔ ne room mu ne no seesei, enti me, Elinam, mepɛɛ sɛ mɛma obi nnim deɛ asi, sɛ ɛba sɛ ɔhia kɔ clinic a."
88,"Me din de Ramatu, na merefrɛ wo efisɛ biribi si Adjoa ho — ɔba ketewa bi — fa Techiman ho, Kumasi-Sunyani ɔkwan so no. Ɔkwan ho no na nsuo tenten bi wɔ hɔ, na ɔkaa so mpofirim kotoo mu, na ɔduu fam ase nso kakra bi ansa na nnipa a wɔwɔ hɔ yi twaa no firi mu ntɛm ara. Ɔrehome yiye seesei, Onyame adom, nanso ɔkwan no ho ɔkɔn de no yaw kakra, na ɔse ne tiri yɛ duru kakra. Ɛnyɛ den dodo — ɔtɛ ase rebu nsɛm — nanso yɛsuro kakra nti yɛpɛe se yɛbrɛ wo nhoma na yɛbisa: ɛsɛ sɛ oduruyɛfo bi hwɛ no anaa?"
89,"Me pa wo kyew, biribi asi wɔ Tamale-Bolgatanga kwan so, Walewale ho. Abarimaa bi, Agyeman, nnipa bi de hyɛɛ no so — wɔbubuiɛ no yiye wɔ ne tiri ne ne kɔn so. Mene Amankwah — mekɔɔ hɔ na mihunuu eyi, enti mekae sɛ mɛboa no. Ɔhunu hwee na ɔreka kakra kakra, nanso ne kɔn ho resusu, na wohu sɛ ɛyɛ no yaw paa. Yehia onipa bi mmra ha, anaa womma yɛnhu beaɛ a yɛbɛde no kɔ ntɛm."
90,"Me pa wo kyew, biribi bɔne paa aba saa abofra bɛn ha. Me din de Afia, na merɛfrɛ fa abofra bi ho — ne din de Adjei. Ɔreseadwuma na machine bi siim ne nsa mu, na etwitwa ne nsa no yiye yiye, na mogya retu paa. Yɛwɔ Axim road no so, bɛn Half Assini. Abofra no yɛ ne yaw paa, na yɛn ani agye hu — me pa wo kyew, mma mmoa mmrɛ mmrɛ, efisɛ ne nsa no yɛ hu paa paa."
91,"Me ba Agyeman reyɛ adwuma wɔ construction site bi ha wɔ Tumu, na biribi duru tee kohwee no, na ɛkobu no wɔ ne bruwa ne ne yafunu so. Ɔyɛ abofra, afe du nkron ntim na wahunu, na ɛyɛ no yaw, nanso ɔte hɔ na ɔrekasa daa. Me ne Patience, ne maame, na ne nkurɔfɔ a wɔyɛ adwuma ne no frɛɛ me bere a na ɛbaa. Ɔreka sɛ ne bruwa yɛ no yaw paa paa bere a ɔrehome, nanso ntan biara nni ho a remetu mogya koraa. Yehia obi a ɔbɛba boa yɛn, anaasɛ wɔmmrɛ yɛn nsɛm a yɛnyɛ, efisɛ yɛnnim yiye sɛ biribi abue ne mu anaasɛ daabi."
92,"Me pa wo kyew, mepɛ sɛ meka biribi a asɛe fa me nua kumaa ho. Ɔdin de Kwame, na wadi afe aduonum nkron na ɔreyɛ adwuma wɔ construction site bi wɔ Accra-Cape Coast road so, kɔse Winneba nkyɛn, na biribi tuu hɔ tuu n'nsa so. Ɔkeka sɛ eye no yaw, nanso ɔtumi sesa no kakra kakra, enti yɛntumi nsua sɛ ɛyɛ ɔhaw kɛse paa. Me din de Ofori, na mepɛ sɛ midi ahu sɛ ɔhia kɔ clinic, anaasɛ yɛbɛtumi atwɛ no efie."
93,"Me pa wo kyew, mepɛ sɛ meka biribi a asɛ ha wɔ Tumu. Me hↄ foforo Nii tuu fam wɔ compound mu — ɔhwee na ɔbuaa ne tiri wɔ fam. Ɔho yɛ, ɔtee ase na ɔreka asɛm, nanso wɔ cut ketewa wɔ ne kɔn ho na ɔreka sɛ ɛyɛ no yaw wɔ hɔ. Me din de Ibrahim, mete hɔ foforo pɛpɛɛpɛ, na mebaa sɛ menhwɛ no bere a metee noise no. Yennwen sɛ ɛyɛ kɛse papa, nanso yɛpɛ sɛ obi twe yɛn귀 na ɔkyerɛ yɛn dea yɛbɛyɛ ɛkɔ so."
94,"Me din de Sulemana. Merefrɛ wo ho fa me yonkofo ho — opanyin bi a wɔfrɛ no Baffour. Ɔkɔɔ accident wɔ Asokwa, ɛnyɛ kakra na ɛkɔ wɔ yɛn fie ho. Na saa ara na wɔde no baa fie no, ɔde nsa kyeree ne bruwa ne ne nkyɛn fam. Ennyɛ nea eye hu paa — mogya retu no anaa biribi te saa nni ho — nanso ɛyɛ no yaw wɔ ne yafunu ho ne ne nnompe ho. Opanyin ni, enti yɛpɛ sɛ yɛhwɛ sɛ ne ho yɛ."
95,"Me din de Akua, merefrɛ efisɛ bɔne bi asi afoforo abofra bi ho ha. Wɔfrɛ no Afia, ɔwɔ edu num anaa edu nsia mfe saa, na oguu burn — ɛkaa ne kɔn ne ne tiri ho ntim no. Yɛwɔ Bolgatanga-Bawku ɔkwan so, Navrongo fam ho. Burn no nketewa koraa — ne ho nam no yɛ hu paa, ɛyɛ no yaw na ɔsu, nanso ɔda hɔ na ɔrekasa. Me pa wo kyew, yɛhia obi mmra mmoa no ntɛm ara."
96,"Maaha. Me pa wo kyew, mepɛ sɛ meka biribi a ɛsii Tamale-Yendi kwan so, Savelugu beae no nkyɛn. Me din de Ibrahim, na merekɔ akwan no mu na mhunuu abofra bi, Agyeman, a ɔtuu fam fii ne bicycle so wɔ kwan so no. Ne nan yɛ no yaw kakra, nanso ɔho yɛ — enye kronn — ɔte kwan nkyɛn na ɔtumi yi no sɛe sɛe. Obi wɔ ne ho seesei, nanso mepɛɛ sɛ mika wo ho wɔ hw3 sɛ ɔhia sɛ obi bɛhwɛ no."
97,"Me pa wo kyew, mepɛ sɛ meka biribi a asi ha wɔ Nalerigu. Me adamfo Vida — ɔrɛkɔ ɛkwan so a ɛbɛn market no, na ɔhwee fam wɔ pavement a abɛbu mu no so, na ɔnan mu twetwerɛɛ yiye. Ɔnan mu no resu asu anaa rehoahoa sɛ anɔ, na ɔntumi mfa n'asɛm biara nni anan no so, nanso ɔte mu ara na ɔrekasa pefee. Me ne Elinam, na mewɔ ne nkyɛn seisei. Yɛhia sɛ yɛnhu sɛ ɔnkɔ clinic anaa yɛbɛtumi akura no wɔ efie."
