id,narrative_ewe
39,"Allo, meɖekuku! Nɔvinyɔ nye Afia woƒle accident ɖe fɔ ŋutɔ ɖe egbeƒe ŋu afim la kpɔɖeŋu Suame, Kumasi. Etrɔ ava egbe ŋu akɔ ŋɔ dzi le ʋɔ dzi, gake Mawu akpe — evɔ o ku o. Eyi nam ɖe abɔ kple ɖevi ŋɔ ŋɔ la ŋu, eye wotsɔ akɔ ɖe fifia la ŋu la, gake Afia le edzi ɖo eye ele gblɔgblɔm. Nyeŋɔ nye Agyeman, mele ŋutɔ ne ɖe egbe afim. Meɖekuku, medi se dedie be míawɔ nane na eya fifia."
40,"Allo, yɔ nyem Afia. Mefrɛ mi ɖe nudzadzra si wɔ wɔ ɛ ta. Accident wɔ wɔ le Tamale-Yendi ʋɔ dzi, ɖe Savelugu ŋutɔ dzi. Ŋutsu ɖeka, woylɔ ɛ Appiah, le trotro me, eye trotro sia xɔ la, articulated truck tso ŋɔ ƒu. Ewu ƒu gɔme loo. Enye abe ta ŋu la, ta ɖe yia le yi eŋu, eye ɖo yi eŋu ka — eyi nam ɖem la dziɖze. Gake eɖo edzi, le gbe yɔyɔ, eye esɔ kpɔ abe nu sɔgbɔ vevie o abe la. Fifia míéle ʋɔ ŋɔ dzi la, eye meɖi ame aɖe atrɔ va kpɔ ɛ nyuie nyuie. Meɖekuku, dzro mi nami."
41,"Allo! Meɖekuku, kpe ŋunye! Nɔvi ce Yaw wɔ accident ɖe Accra-Kumasi highway dzi, fɛ̃fɛ̃ la Nsawam gɔme. Nyem nye Baffour, nɔvi tɔ fe. Ame ɖeka frɛ ŋunye be akɔ ɖeka dome yi eŋu eƒe ŋɔ, gbe si elea ʋɔ dzi la. Ame deka le eŋu ahãhã la, akɔ woe dome Yaw eŋu eƒe ŋɔ gɔme. Ɖevi la le ŋkeke ewo kple ɛ̃ alo ewo kple ewo la gɔme. Abe naneɖe xoa nye ŋu la, eyi nam tɔxɛ ɖe eƒe ɖevi ŋɔ kple edzidzi dzi hã, eye mate ŋu ɖo to dɔɔ o. Gake eɖo edzi eye etɔ gbɔ. Meɖekuku! Meɖi kpɔ ŋunye ko. Kpe ambulance ɖe ŋunye, woaɖe eyi asiwo gɔme zi ŋutɔ. Kpɔ ŋunye, woana kpe ŋunye!"
42,"Meɖekuku, meɖi gblɔ nu siwo wòwɔ afisia Savelugu fiɖeŋ egbe zanzan. Ame ɖeka le ŋutɔm — Fuseini — srɔ̃ ɖe eŋu — le yɔ̃ le aʋaɖoƒe le dɔ hafi amesiwo ɖe nutiwo trɔ asi eŋu eye wotsɔ eƒe ga wòɖe. Wonu wu eƒe asi eye eƒe asi su kple nyuie fifia; mate ŋu ɖe eƒe asi dzi o. Eyi nam dɔdɔ, gake eɖo edzi eye egblɔgblɔ le. Nye Abubakar — ame ɖeka frɛ ŋunye hafi nugblɔgblɔa trɔ. Meɖekuku, mi va kpe ɖe eŋu, esi nɔɖe eƒe ta la, srɔ̃ wò."
43,"Meɖekuku, meɖi gblɔ accident si wòwɔ le Cape Coast-Elmina ʋɔ dzi. Ŋutsu ɖevi aɖe si wɔ ŋkɔ Darkwa, aboboyaa wo ŋu eŋu gbe be ele ʋɔ ɖa ƒu, eye edo ƒu. Nye ŋkɔ nye Edem — nele ŋkɔ eye mele egɔme le gbe sia gbegbe be nuia wɔe. Eɖo edzi la, eye ele ɖoɖo wɔwɔ, gake afɔ si le eŋu eyi nam susu, eye kpɔvi aɖe le afɔa dzi. Meɖi ame aɖe a va kpɔ ee, elabena miemitsi ɖe be ɣleti vɔ o, ablɔɖi ŋudi."
44,"Meɖekuku, nudzadzra gãtɔ aɖe wɔe afi sia Dansoman. Mama Efua, ɖoɖoe wú ƒu egbe ŋdi sia, eye edze le xexe gãtɔ me — afɔ aɖe si le eŋu ná vɔ̃ le ʋɔ ŋu si mele nèm o, eye mate ŋu trɔtrɔ a o. Edze ná wɔe ɣe ɖo ƒu egbe ɣeyiɣi si, eye ewu ƒu dɔɔ. Yèame, Naa wòyom, nɔ víwo ame. Mele egbɔ egbɔ ɖe eŋu gãtɔ afi sia, elabena srɔ̃ e nye, eye eyi nam akpa ŋu — edzi ŋu asi le yiyi ƒu dzi nyuie. Meɖekuku, kpe ɖe ŋutsɔ nyuie, medi kpɔ ŋunye akpokplɔ — wo ni ze fifia yi afi sia."
45,"Allo! Meɖekuku, kpe ɖe ŋunye. Nyɔnuvi ɖeviŋkɔ nye Abigail — ewo le Hohoe-Jasikan ʋɔ dzi, eye trotro ɖeka wɔ accident na eƒe megbe. Nyɔnuvi la nyɔnuvi ɖevi — xɔlã esiaeve abe esia ene ene. Nye ɖe nyɔnu nye ɖe eƒe da nye, ŋkɔnye nye Hadija. Eyi nam le eƒe ɖo ŋɔ, eye ɣleti si le ta dzi la, vɔ abe nuɖekɔkɔ eve. Gake eɖo edzi, ele gblɔgblɔm kpɔ míaƒe. Míele xɔ eŋu fifia. Ekɔ la, mele didiɖeɖe be woawɔ nuto, — nye fé mele bia be nudɔwɔla aɖe ni nye le wò nukae wɔ. Akpe na wò."
46,"Meɖekuku, nuvo ɖeka wɔ ŋgɔ eye meɖi na mi kpɔe. Domekɔ aƒe ŋuti, Muntari, ame wo ta ɖe eŋu ɖe Hohoe-Jasikan ʋɔ dzi — ame geɖe wo yi ɖe eŋu wu eɖe. Wo ɖe ta dzi nam eŋu, eye ɖo le eyi nam le eŋu, gake eɖo edzi eye ele nu ƒle le eme, nenye ale abe nu sɔ gbãtɔ ene o. Nyem Abubakar, nɛ wɔ nudzadzra la, me le eŋu. Meɖi ame ɖeka a va kpe ɖe ŋumitɔ anyi, alo mi ɖɔ nami le wɔa ŋɔ la, efiawo ko abe nuwɔwɔ a le wɔna ene, esi Muntari mele mɔ nyuie o daa."
47,"Meɖekuku, meyi ŋu be megblɔ nu si wòwɔ nam fifi afi sia Axim. Nyem nye Felicia, eye medo ƒu le ƒe dometɔ ŋgɔ sia — me le ame si le yeye le ŋgɔgbe la dometɔ eme, eye afɔnyem sua sua aɖe. Asim ɖem wòyi, gake ezi le egbea o — eyi nam kpui kpui, eye esi nɔm vevie o. Mate ŋu ɖe asi le eŋu ke ke, ne mese be nu vɔ o."
48,"Allo, meɖekuku kpe ɖe ŋunye. Nɔvi-nye Kojo ewu ƒu egbea afi sia Wa Central, eye afɔ-nye eyi eɖɔ. Esia magblɔ be enyo dukɔ o — ele ɖo le ƒɔ ƒɔ, gake ele ɖo le tsɔtsɔ eye ele be eyi nam. Nyenye Amankwah, nye mefrem ɖe be eya hã megba be mava asiwo o, gake mese be woawɔ eŋu ɖo nyuie. Meɖekuku, ame aɖe ate ŋu abe ɖe miaɖe nuwɔwɔ si míawɔ eneŋ?"
49,"Meɖekuku, nudzadzra ɖeka wɔ ɖe Hohoe-Jasikan ʋɔ dzi enumake. Ɖevi ŋutsu ɖeka, wɔ ŋkɔ be Selorm, ele pragyia dzi, eye pragyia ɖa ʋɔ dzi abe. Nye ŋkɔ nye Sulemana — mele ʋɔ dzi la woƒom eye nudzadzra la wɔ loo. Ɖevi la eɖo edzi kpɔkpɔ, egblɔ gɔme wo kpɔkpɔ, gake eyi nam mɔ le eƒe ɖevi ŋɔ kple abɔ ŋɔ dzi — abe eƒe ŋutinya titina la ŋɔ ene. Nusi ɖe meɖo ŋu be neva nyuie o, gake midos be ame aɖe na va kpɔ eɖe. Meɖekuku, frɛ ame aɖe na va kpɔ eɖe."
50,"Meɖekuku, meɖi ŋlɔ nu siwo wòwɔ afisiafi ɖe Dormaa Ahenkro egbɔ. Ƒomenyaƒo ce Nhyira wɔ agbagbadede kple ŋutsu ɖeka ɖe xɔgblɔgblɔ ŋkume le akɔxɔwo ŋutae, eye adzodzo le ɣeyiɣi dzi ƒe ga wu. Ŋutsu ma tsi aʋa Nhyira ta ŋkɔ dzi eye etu agbɔe fufɔ. Ewo ƒu nyo nyo o, gake ɖoe le eyi nam, eye eta le eyi nam ge hã. Muntari wɔe nye ŋkɔ ce, mele afea le nu siwo wòe wɔ la gɔme. Meɖi ŋlɔ nu sia nyo nyo, efeke ŋutsu la dzoe ɖa ame ne o, eye Nhyira meɖo nyo o fifia."
51,"Meɖekuku, nuɖoɖo aɖe wɔe fifia kaba la Dansoman. Ŋutata ŋunye Araba le ʋɔ ŋu le xɔ ƒuƒoƒo la ŋu ko, tipper truck aɖe ŋɔ kpe eŋu, ewu ƒu kpuie. Afɔ ŋɔ wɔe na eye mate ŋu ɖu afɔ la dzi abe nusɔsɔ o — gake eɖo edzi, le agbalẽ. Enyem Vida, meɖo eŋu fia, míeɖi kpɔ ŋunye, elabena míekpɔ ɣleti vɔ wòle o, anyi nuaɖe bubu le, míenu sɔ o. Meɖekuku, wɔ ɖoɖo dɔm."
52,"Meɖekuku, nudzadzra gãtɔ aɖe wɔ ŋu afisia Sunyani, eye meɖi kpɔ ŋunye enumake. Ɖevi ŋutɔ si le aƒe sidzedze ŋunye, Appiah — ɖevi koklo — ewu ƒu tsi me, eye edzo ɖe gome le negbe ŋutɔ eye mègale ŋu yi atsɔ eɣi egɔme o. Gake ɣesiaɣi mɔkpɔna eŋu, eye eƒu agbe la, wòƒu agbe la gblẽ, gblẽ abe agbe meɖo eme o ene. Ne miekpɔa edzi, eƒo ɖevi ŋɔ kple abɔ dzi vevie, aɖe nɔ eme abe nusiwo vɔ ɖe eŋu gome. Appiah eƒu agbe la, gake eƒu agbe gbɔgblɔe dzi, abe agbe yia ŋu ene — eye né miekpɔa eŋu, emegblɔ nu o, emedzo ŋu nu o. Meɖekuku, dze kpɔ ŋunye enumake — Maame nye ŋkɔe, eye mele abe eŋu ko afisia le subɔsubɔ."
53,"Meɖekuku, nuɖoɖo gãgã ɖe aɖe wò va si ɖe afim ɖe Bawku. Ɖevi nyɔnu si le ŋutɔ ŋunye ƒe lɔlɔ̃vi, Adjoa, ewu ƒu afisi agble gã le ʋɔ ŋu le afɔliƒe ŋu, eye nusi ŋu eƒu, ehhh, eme nyuie o le edzi ɔ. Eƒe asi xɔ asi ɖe nyi kaba eye eyi nam gãgã, eye mate ŋu ɖe asi ŋu o. Nye nye Emefa, mele ŋutɔ dzikpɔkpɔ le ŋuti, eye eƒe nɔ̃vi medze o, abe nyawo wom nɛ mefrɛ. Meɖekuku, medi kpɔ ŋunye akɔkɔe, ɖevi la eyi nam gãgã kaba."
54,"Allo, yeyeye. Nyem dzɔna Ramatu. Mefrɛ wo afi nudzadzra bubu xɔ ame dzi — le Tamale-Yendi ʋɔ dzi, kplé Savelugu agbɔ̃. Ɣeyiɣi bubu ŋu, ŋutsu vie bubu dzɔna Asare le egblɔ be ele agble akɔ ʋa ŋutɔ dzi le ʋɔ ŋkɔmé, ele nutsu ɖowo kpɔ dzo sacks ga la ƒe yi truck ƒe ta. Gbona si, sack ɖeka vavãtɔ la do nu ɖe nɔ egbeme, va tso eƒe ɖevi ŋɔ dzi kpakpɛ. Masɔ asi wɔ nane o gake eɖo edzi, ede le egblɔgblɔm. Gake ede gblɔm be eƒe ɣleti le ɖevi ŋɔ dzi la yi ŋunye, eye mate ŋu ƒu agbe nyuie o — efɔ dzi bubu. Meɖi geyiɣi, mekpɔ wo le ʋɔ fé la, eye wogblɔ be meyi gblɔ ame ɖe wo ŋu. Meɖekuku, frɛ ambulance yi tso Savelugu agbɔ̃ la ko."
55,"Meɖekuku, meɖi ɖe accident bubu si wɔ ɖe afisia Cape Coast. Agbɔviwo ŋutsu si le ŋunye kɔŋkɔŋ ƒe ɖevi, Afia, OA taxi ŋu wu eɖe ʋɔ dzi, eɖe market ŋutɔ egbɔ. Ɖevi nyɔnu wò nye, ŋu le eŋu bena afe awo alafa eɖeka kple bubu geɖe. Akɔ ŋu si wu eya nyo geɖe o — eyi nam eɖe ɖo ŋɔ, eye ɖa kakaka le eta dzi, gake eɖo edzi eye ebua nu. Nyenye Alhassan wò bi wò, nye ɖe nam axɔ telefon sia ƒe, efɔ eƒe nɔ nye le eŋu fifia, eye woɖi ƒe akɔ bubu si na wɔ wòɖo yia clinic."
56,"Allo! Meɖekuku, kpe ŋunye! Nɔvinye Asante wɔ accident fafi Dormaa Ahenkro, koko le ʋɔ gã ŋutɔ la ƒe ŋkɔ ŋu, eye nu siaa yi dukɔ. Ɖevi la le ʋuʋu — akpa la le eƒe ŋkɔm hã, ela ŋɔ enewo alo eɔ-ewo ƒe ɣeyiɣi la me. Eƒe afɔ la vɔ dukɔ — mele mɔ ŋuti ɔ ko la, ɣleti vɔ la hã — eye dzi tsotso le gɔme. Nyenye Nii, meɖo eŋu fafi, eye ame geɖe tso ŋkɔ wɔm, gake ame aɖeke to ƒe ŋku le nu wɔm o. Eyi nam, eye mate ŋu ɖu afɔ la o ko. Meɖekuku, frɛ ambulance mi vie zi, kpe ɖe ŋumivo! Eyi eŋu dukɔ!"
57,"Allo! Oshwiee. Yèe, medzɔ na wò be míaƒe ɖevi Ofori, woɖo nu eŋu fiɖe egbe ŋdi le míaƒe agble o — ɖevi ŋɔ la yi Tamale. Enya, eле tso dɔwɔnu dzime, gake tsi vevie xɔ eŋu, eyi ɖevi ŋɔ kple abɔ ŋɔ — le agbea me. Mele kuɖe o, atike ŋɔ la gbɔna tsotso, eye evi la le enum akakam. Yèe, ŋkeke siaa nye Kofi, menye eƒe tɔ. Ɖevi ŋɔ la le zãzã nyuie, ede eme ede ame, eye etsi agbe kaba la. Megblɔ ta ʋɔ dzo o — gake mele sɔ ɖe edzi kple nàwò be míaɖe ɖevi la asiwo, ke nàle wɔ atike na eya le ŋutilã? Meɖekuku, kpe ɖe ŋunye na kpɔ nu si mia gbɔna wɔna."
58,"Meɖekuku, mefrɛ ɖe mi ƒe ŋu be megblɔ mi nu e si wòwɔ afisia Nalerigu. Ŋkɔnyé nye Mensah, eye menyé ƒometo na aƒe la. Ɖevi nyɔnu ame yia, Elinam, ɖevi nyɔnu ɖeka, edo ƒu eye eyi ŋunye — asi anɔ afɔ, mese vevie o, gake eɖo asi dzi eye ebé nyuie. Menya ɣlɔ̃ɣlɔ̃ be nɛ si eyi la nye asi o afɔ, gake eɖo asi dze dzi eye egu nu kpɛkpɛ. Evɔ tea o — adu vɔ o, ana dzi me o, nusiwo ɖe va o. Gake aƒetowo dii be ame aɖe ni nya na, eye be woato kpe ɖo. Fifia la, Elinam le mɔ nyuie dzi, abe ame si ɖo egbɔ ko ene."
59,"Allo, meɖekuku kpe ŋunye. Nyɔnye ŋkɔ nye Felicia, eye mate ɖe wɔɔ ŋu le fone la dzi. Nye tɔgbui, Nii Laryea, kpe ɖe ŋunye — afi siaɖe le Zebilla la, egble dzi wom siaŋ. Esia le dɔwɔna me la, eye esi enɔa ɖe dzitsi kɔkɔe la, ne la tsotse wu asi le agble dzi wom ŋu, ewu atsatsa wu eɖe — tsɔ eɖe ɖo ŋɔ kple abɔ ŋɔ dzi. Nii Laryea nye srɔ̃ amenye, nenema mia tsɔ agbɔ aɖe le eŋu ŋutɔ. Gbɔgblɛ̃ la mewo tsɔ tsɔ o — asi le dzɔdzɔ, eye aɖewo le anya vava ŋɔ dzi, la gɔme le hɔhɔm aɖewo le eŋu. Meɖekuku, mia di se be míe wɔ ɖe etame dze sɔ nenye abe wò te la ene, eye míe kpe eya wu míe dze eyi le kpɔkpɔa ga ɖeka. Mia tsɔ agbɔ aɖe ŋusẽ ŋuti de eŋu la akɔ se?"
60,"Meɖekuku, meɖi be woate ŋu wɔ nuŋlɔ dzim de nudzadzra si wɔe fiam afi ɖeka Cape Coast. Ɖekame Boateng — eƒe ƒe le ewo kple ɛ̃ gbɔ la — ago be eyi ɣa dzi ɣa si le ʋɔ ŋkɔŋ la, ɣa sia xɔ tsi le dzidzime tso sigo, eye ewu ƒu le gome. Amewo le xɔ la kpɔkpɔ la to ɖe asi ɖo kpuie, Nyame nɔ ŋutɔ dze ame. Eɖo edzi le gɔme eye etɔm, gake eƒe asi kpoe fu bena wòtrɔ ɖe eŋu la — eye asi sia gbɔ le bɔbɔ eye eyi nam ʋui. Nye nyɛ la, Alhassan. Meŋle xɔ kple aƒe eƒe le fifia. Meɖekuku, woate ŋu ɖe ame ɖeka aƒi mia be eme wòdi eŋu le nyo?"
61,"Meɖekuku, meɖi ɖe nudzadzra siwo wɔ wɔ Cape Coast-Elmina ʋɔ dzi ŋu. Nyɔnu aɖe, woyɔ Memunatu, ele bicycle ɖe ɖeƒe ʋɔ ta ko wɔm, gake akɔ aɖe siwo ŋlɔ aɖu le egbe megbe gbɔ yi, wu eɖe, eye ewu ƒu dukpe. Edo ƒu eƒe asi dzi, eye asi sia fɔ xexe fifia, eye mate ŋu tsɔ asi sia le xoxo o. Baffour wɔ ŋkɔnyem — neo me le ŋlɔ aɖu megbe gbɔm, eye mekpɔ nudzadzra sia bubu katã. Meɖekuku, kpe ambulance ɖe eŋu, woawu bɔbɔ, elabena eyi nam dukpe ŋutɔ."
62,"Meɖekuku, nudzadzra le xɔ ɖeka Ashiaman, eye meyi be manɔ nu agbɔm. Amedzidzinu ɖe ŋutɔwo wɔ Abubakar hafi, wo su i geɖe, eye asi si wo su na wo gbo le xoxo eye mate ŋu dze i nyuie o. Nyenye Mensah, mele ɖoɖo xɔwo geɖe me, eye mekpɔ nu si wɔa ɖe gome. Eyi nam le asi la me, gake eɖo edzi nam gake — eleŋu eye egblɔ nu, eye ewoa ta o. Meɖi gbɔ ame aɖe va kpe ɖe ŋune alo zã ɖo na mia be maxɔ taɖodzo ka."
63,"Meɖekuku, nuɖoɖo aɖe wɔ afisia Goaso, eye meɖi na mi se. Ŋkɔnye enye Ofori. Mefrɛ mi ɖe nyɔnu aɖe dzi, ŋkɔe enye Naa Dedei — aboboyaa aɖe wu eyi ʋɔ dzi, eye edo ƒu akɔkɔe. Egble ɖo tɔe, eye etso kpɔ be ta eyi nam, gake eɖo edzi, eye egblɔgblɔ kakaka. Mele bɔbɔ ŋutɔ o, gake eɖi kpɔ ŋunye, efiafia ɖo eyi enam, eye mate ŋu ɖo zazã o."
64,"Allo! Nyem nye Edem. Meɖi na wo ɖe nudzadzra dzetɔ ŋu. Ɖevi nyem, Amoah, le wo dzo ɖe azãzã siwo meɖo wom ɖa Yendi. Nɔnɔme, asi ŋɔ ƒe nu dzetɔ mɔ ɖe ŋu, go be tool siwo medo wom ŋɔ ŋu. Agbagba o — xexe ɖeka ɖeka, dzetɔ ŋu o, gake le dzi ƒu asi ŋɔ. Eƒe dzi tsotso atso ɖa la, ele nyuie. Eɖo edzi la, gake xɔ egbɔ dzetɔ ŋu. Menye nu gãgã o — meɖi be maga se nusi wòwoa ɖa ŋuɖoɖo nyuie."
65,"Allo, meɖekuku — meƒɔ wò ŋu ɖe esi si Muntari, ŋutɔ̃nyɔnume, xɔ tɔ̃ eye mele egbɔ dzi gã. Míele Kintampo ƒutre, ʋɔ si yi Kumasi, gome si nudzadzra sia wu ame. Eɖoa le nuɖuɖu siwo ŋu eye dzadzra wu egbe — ɖevi ŋɔ kple abɔ ƒome la le veve. Ɖevi la nye aɖaŋunɔ, eƒe ƒeaɖe le ewo bliboa ɖeka hã, eye egbe ƒome la le dzɔdzɔ vevie — edzedze le egbe dzi eye blistering le le eme, gake eɖo edzi hã eye ele ɖe nu gblɔm, akpe na Mawu. Nyem Esi, aƒɔvi nyɔnu tɔ, eye mele egbo fifia, gake miɖi nyim nu si míado ŋu wu na wo afi si míate ŋu yi asiwo ŋu."
66,"Allo, yèŋu nye Dzifa. Mefrɛ ŋuwò le ŋku si dzi nye ƒe ƒetɔ ɖeka le Cape Coast. Naa wɔa adanu le adanu xɔ ɖe eƒe ta, eye ele ato agbledze ƒe xɔ dzi wɔwɔ ame, ke asi vɔ ɖe eŋu eye asi dzidzi ƒe xɔ dzi kpɔ eƒe nu ɖeka ŋu kakakaka. Dzi le etsotso ke ha ɖe vevi o — dzi didi hã o. Eɖo edzi, ke elele eɖe kakra, abe nudzadzra ƒe ɣlu ene. Míaɖe aʋu ɖe eŋu la, ke míaʋɔ ɖe mí be míga ŋlɔ: Ehia be yae tso fia, be wodze hɔ xɔ ŋu nyuie eye wokpɔ eŋu nyuie, abe nudzadza la ha ŋgɔɖe vɔ dzo."
67,"Meɖekuku, medi na wo be accident le Suhum afisia. Ɖegbe ŋutsu — Asante — srɔ̃ wò nye, aboboyaa yi wu eŋu ʋɔ dzi ɣeyiɣi siaoɖeka gbã. Aboboyaa xɔ eŋu ɖevi ŋɔ kple abɔ ƒe agbagbe la gome, eye edo ƒu dzi kaka. Ŋkɔnyam nye Ramatu — nye woyɔm esia — me le agbea ɣesɔɣi si eme eye me kpe ɖe eŋu me tsɔ e yi ʋɔ ŋkɔ. Eɖo edzi eye edzo gblɔgblɔ, gake eyi eŋu — abe nu bubu o vɔna hã, gake eɖi na e be dɔkita nɔ kpɔe."
68,"Meɖekuku, meɖi na woɖe nu bubu kple nudzadzra si wòwɔ na srɔ̃ aɖe fika Yendi. Ametɔ si le ŋunye dzidzi, Asare, eya srɔ̃ dada — ame aɖe wòa va xo eŋu eƒe ƒe dzi, wòta eƒe asi ŋgɔ le gã ŋgɔ, eye asi sia tɔ̃ akpa fifia. Nye Owusu, mele eŋu dzidzi, eye gake ke metsɔ nunya ame wòwɔ eya ɣeyiɣi la, mava kpɔ nu siaga wòwɔ. Elo ame si aɖu eŋu o, gake eƒe asi eyi nam dada, eye enye mate ŋu tsɔ asi la ŋu tegbee o. Meɖi kpɔ ame va kpe ɖe eŋu, alo mi nana egbe nu si woawɔ."
69,"Allo, yɔ nyem Dela. Mefrɛ wo se nudzadzra si wɔ ɖe afisia Cape Coast. Ɣeyiɣi kakaka o ke, trotro ɖeka du Kpodo — ɣlã vɛ̃a si le agbɔ̃ ɛne ŋu, se asi ɖo agble ɖe ewe eneawo ŋu la. Afɔe yi ta gã — avava le esia dzi, eye woɖe be eyi nam ŋutɔ. Gake eɖo edzi la, ede gbe. Mekpe eŋu aɖo ewo ɖe ʋɔ dome be ewɔ du ʋɔ si, eye ame ɖeka le kpɔ eŋu fifia. Meɖekuku, kpe ɖe ŋuwo — miʋɔ se dɔwɔwɔ si ŋu mia wɔ fifi la, alo dee eyi be ede yi asiwo."
70,"Meɖekuku, mekɔ wò telefon si ŋu be maɖe nunya na mi afi si nudzadzra si wɔe fifi fia Takoradi market ŋu. Nyemegbe nye Hamza, eye nɔvisame ƒe ŋkɔ nye Yakubu — ewu ƒu abe market stall ɖeka ŋu ene. Eta do ƒu ƒu edzi, gake eɖo edzi le fifia — mele dɔ ŋu o. Ele ekɔ be eyi nam ɖo megbe ŋu geɖe geɖe o, ɖevi le deɖe ŋkeke. Nudzadzra me le gblɔ ŋu o, gake miyi be mile dzeɖe nya si ɖe axa ŋu nenye."
71,"Meɖekuku, meyi ɖe accident si wɔ ɖe afisia Navrongo. Ŋkɔnya enye Muntari, eye mefrɛ gake esia kaka la nu — ameŋkɔnya enye Asare, nye ƒe agbɔta. Akɔ si ame woƒo ƒoa nu ameawo dome le ʋɔ dzi la hiti ye akpɔkplɔ sia, gake eƒe ʋe mele ŋgɔ o. Eɖo edzi, eye eƒe dɔwɔwɔ mele vɔ̃ akpa o. Afɔe tɔ̃ eyi ye gake mede ŋku aɖeke le edzi o. Míewɔ to míaƒe nu bɔbɔ la, míexɔ lɔlɔ̃ be wuiyi nye azɔ abe mɔ aɖe ene abe eme akpɔ la. Gake míeɖi be wòkpɔe le asiwo la gbɔ be wòkpɔ nyuitɔ eye míenya nuto."
72,"Meɖekuku, mefrɛ mi be matso nudzadzra si woa ŋu afii Hohoe. Nɔvi nyɔnu ŋunye Maame, ɖevi nyɔnu wo, akɔ kakaka ɖeka tso ŋu eŋu ʋɔ dzi, eye edo ƒu geɖe geɖe. Nutoe yi eyi eŋu ɖe ɖo kple ta — eɖo edzi, gake eyi nam ɖe ɖo kple ta ŋu, eye mate ŋu tsi ɖo agbenyui o. Me nye Kweku, mele eŋu afii fifia, eye meɖi kpɔ ŋunye, afi kake míetse ame o, elabena míenya aɖe míaɖe eŋu o."
73,"Meɖekuku, meɖi ɖe nudzadzra si wɔ na ɖevi ŋutsu aɖe Mankessim kpɔ, le Kumasi-Cape Coast ʋɔ dzi. Ŋkɔnyem enye Vida, eye ɖevi la ŋkɔ enye Abubakar — eɖeka le ƒe ewoaɛ̃ alo ewoasia hafi. Ewu ƒu le tsi si le ʋɔ dzi, magatsɔ bena tsi ɣoɣlɔ alo nuɖoɖo aɖe ene, eye eya ƒu tsi gome ɖeɖe ke abe, eye amesiwo le ŋutɔ ɖo xoxo yi nu ɖe eŋu. Esia ko, edzi ƒu ame nyuie fifia, akpe na Mawu, gake asi la xɔ veve afi si wole etsotso ɖe eŋu la — efle, eye ele eɖo na asi la abe nuto aɖe ene. Medo̲ bo̲ ko̲ bena ame aɖe a wɔe va kpɔ eŋu nyuie, elabena esiwo kata la, ame la kpɔ ʋuʋu si gɔ."
74,"Meɖekuku, nudzadzra ɖe Takoradi-Cape Coast ʋɔ dzi, egbea Anomabo. Ɖevi ŋutsu aɖe be wɔ‍ŋlɔ Selorm wòa la, akɔ dze eŋu — medze ŋu be esia kple ɛ̃ ene alo ewe ŋkeke la woɖe eŋu. Egbe ewu ƒu la, eta kple eɖo dze ʋɔ dzi te te, kae dzi le etsotso le eta, gake eƒu agbe, ale koe ebe gɔme nu. Nyeŋɔŋlɔ Akosua — me le ʋɔ dzi la ko be nudzadzra sia wɔ, eye amesiame katã le egbe le afisia fifia. Meɖekuku, kpe ɖe ŋumitɔ wo ŋu be wòva akpakpa, ɖevi la ɖi doktoa kpɔ eya hã."
75,"Allo! Nyem ŋkɔ nye Maame, eye mefrɛ mi ɖe nu si ŋutɔ wu dzi — nu vɔ̃ aɖe wɔ wò Kintampo ŋu, le ʋɔ si yi Tamale ŋu. Ame si xɔ nuvɔ̃ la ŋkɔ nye Wiredu — srɔ̃ aɖe. Amewo ƒo we, wofɔ ta kple ɖo wu dzi ŋutɔ. Wo wɔ we vevie wu. Edzi wò le ɖo o, ele akpo le ƒe gbɔ kɔkɔe, eye dzi le ɣu le ta ŋu. Meɖekuku, nuvɔ̃ si le eŋu la vɔ wu — eɖi kpɔ ŋunye akpɔkplɔe na edzi, ke woava ɖe eŋu o ko. Meɖekuku, mi hã yeyiyi!"
76,"Allo, yèŋame nye Fuseini. Meɖekuku, meɖi gblɔ wo be accident àwo ƒe ŋu le Takoradi-Cape Coast highway dzi, kpɔe Anomabo. Srɔ̃ aɖe, Owusu, akɔ dze eŋu, eye edo ƒu nyuie le ʋɔ dzi. Eyi nam be afɔ aneɖe alo asi aneɖe àvɔ, elabena emega tso eŋu sɔ o — eye eyi ŋuɖoɖo nam kpuia. Gake eɖo edzi, egblɔ gblɔ kakaka. Míeɖe eŋu ɖe ʋɔ ŋgɔ dzi, eye amewo le esiwo le egbe fifia, gake eɖi kpɔ ŋunye sɔ zi yi ɖem. Meɖekuku, frɛ ambulance wu akɔkɔe na mia!"
77,"Allo! Meɖekuku, kpe ɖe ŋunye. Yʋom Elinam, eye Kofi yɔm, nye ɖevi ŋutsu. Accident wɔ ame le Takoradi kple Cape Coast ʋɔ dzi, ɖe Anomabo dzi. Akɔ ɖeka yi wu we le ʋɔ te — ɖevi la xɔ ene ɖe sia ɛ̃ le ƒe ŋu gbã. Ewu ƒu eye eyi nam le dzigbe ŋɔ kple abɔ ŋɔ dzi, ŋɔ la gɔme. Gake mele ƒoƒo le tegbe o — eɖo edzi eye ele yayra. Eyi nam kakaka, eye nye mɔ nu la eye me gblɔ mi fe. Míle nudzadzra ta fifi gbã ko. Akpe."
