id,narrative_dagbani
45,"Allo, n daa. M bɪa pɔɣu Abigail, o bɛ Hohoe-Jasikan nyɛŋ so, n'a trotro yi o nuu ŋun dali. O bia pɔɣu, o tɔɣi sheŋ pia ni ayɔpɔin. Maa bi, n koo, m yɔɣiri Hadija. Ka yɛligu bɛ o ŋun zoli, ka o ŋun ŋani ban yɛligu biɛɣu bɛ o so. Amaa o nyɛ o yɛla, o kuli o zaɣa ni ti doli. Ti bɛ o sibu din'ni. O nyɛ o maa kpara, amaa n bɔri yɛlgu ni o bɛ ka yɛligu ka gbaŋ."
46,"N daa, ka yɛla kɔliŋ paɣa kɔhi, ka n bɔri n yɛl'a ni. N doa Muntari, ban naŋ dɔɣi o Hohoe-Jasikan nyɛŋ soɣim, niriba naŋ nyu o. Ban naŋ nyɔɣi o ŋun ka o timtim yɛligu o daa, amaa o nyɛ tibila ka o guri yɛligu daa, n da ŋɔ ka yɛla ka ŋɔŋ tooi. N yuli di Abubakar, n naŋ be n doa chɛ shɛli yɛla naŋ dɔɣi. Ti bori niri ni o ni kɔ sɔŋ ti, kana ti yɛl'a ka ti bɔri n naŋ ti yɛl'a ka ti di bɔ naŋ ti bɔri naŋ malli, barka, o nyɛ o maa ŋɔ tooi."
47,"N daa, n bɔri kɔɔli ade pa n yɛla n bɛ Axim ŋɔ. N yuli din Felicia, ka n gbini yili pam bɔɣu yine — n bɛ yi nya kama bɔɣu di chɛŋ ŋɔ ka n tiŋ ŋɔ yoli. Ka n nuu di yɛligu, amma ka yɛligu ŋɔ bɛ ti gba, so so yɛligu kura ni toɣo biɛga be ɔ yɛra. N gaa zee n nuu yoli yoli, ka ka n nyɛ di toɣo la din kpɛŋ na."
48,"N daa, M deem Kojo gbini fɔŋ yinli o ka o tiŋ yɛligu daa ni, ka kɔŋ bi nyɛ soli zaɣa — o kpɛŋɛ ni dem dem, ama o gbigbiri ni o yeta ka o tiŋ yɛligu o ni. Din bi nyɛ yiɣu zaɣa, ama m nyɛ ni o tiŋ ku nyɛ ŋan o yeta. Mii yɛliŋ Amankwah, ka m bɛ frɛ o ŋun, barka ni Kojo ku bori taɣi Nyɛla yili, ama m nyɛ ni di nyɛ doo o saa taɣi ka dɔɣite nii nyɛ o niŋ yiligu. N daa, din na yɛliŋ maa, doo kuli bee ŋun, o di na ni maa zolo di naɣiti naa? Yi kpɛŋ yi na sɔŋ ti ni din bo ni ti ni daa maa?"
49,"N daa, accident kɔhin Hohoe-Jasikan nyɛŋ so din ka yɛli tooi. Biɛla din bi yɛligu Selorm, o nɛ aboboyaa so, ka aboboyaa no gbini nyɛŋ so zuɣu. Miya yɛligu Sulemana, ka m nɛ gbɛya ŋa lala a yɛli kɔhini. Bia no ti soli waa — o nyɛ o maa yɛla ka o gbɛya yɛlim — ama o bɛri la digindi ni pam yɛligu, bɛ lala o yɛlim naawuni. O kuli ti kpɛla be ka nin ti gbali o, ama m yɛligu ka dɔɣite baŋ wula o paɣa."
50,"N daa, n bɛ yɛ ni n yɛl' yɛla bi tuma ka Dormaa Ahenkro gbɛŋ wɔra. N dobiɛ Nhyira, o gbini kpɛm dɔri wula ni nindaan yani, ka o ni kpɛm dollar yɛla, o mali ni doli yɛla tooi. O nindaan bio o koli nuu ni ka o yiŋ' soli, ka o tumbu din' o ni tigiri. O n gbini biyaŋa, n'ama o guudi nyɛ ka yɛligu, ka o n bɔri ka o ŋun bee ka gbinviri yuya. M yuli di Muntari, maa n nya yɛla nani. Ti bɛ yɛ ni ti yɛl' yɛla kama ka yɛla dahi bila, bala n kuli ka o ka nyan tum yɛla nabihi, ka o ti sɔŋ o maa yɛla koli la."
51,"N daa, anee kɔligu nyɛ ka din ti be Dansoman ka a zaɣa yɛla. M dobiila Araba, o bee nyɛŋ yibu naŋ be dooli kɔŋ lana, ka tipper truck naɣ o ka o gbini ka o kpɛŋ yaga. O tiŋ tuuni ka o zɔŋ daa o kaa palli tiŋ soli tiŋ zuu, amaa o nyɛ bɔribu ka o kuli yeli. Maa nyɛ Vida, n be o kɔŋ niŋ, ka ti bori ŋun naɣ o sɔŋ ti, barka ka ti ni soli sɔŋ bee o kpɔrigu bali ka a yɛli laa diɛ bee bi yɛli bee bɛ."
52,"N daa, ka yɛligu kɔligu daa nyɛ ka n ti bɔri sɔŋ zɔliŋ. N sirim biɛla, Appiah, bia, o gbini koo kpɛŋ nuu koom puɣu, ka o daa nyɛ koom tali ka ti bɔri o tuɣo. Ka ti tuɣo ka o maa nyɛla ka o ti soli zɔliŋ, ka o digindi ni o pam daa nyɛ ka bɔŋ daa kpɛhi ni yaha, ka a nyɛ ka ka kuli daa kɔli ŋun pam. Appiah bee ka noo, yɛlɣu noo — yɛlɣu yɛlɣu — ka a yi bɔri o yɛli din o ti ŋani ŋani soli. N daa, yi frɛ sɔŋ zɔliŋ — ka o nyɛla ka daa kuli — maa yɛlgu daa yeli daa. N yɛla Maame, n bɛ ni Appiah yɔɣu n tibɔrini."
53,"N daa, kuli bɛ nyɛ yɛligu ka o ti kɔ ka daa so lan yeli zaa. Bia din bɛ ka lan din gbɛya ka o gbini, din nyɛ wuhim din bee tali yem zaa, ni n nabig biɛla, Adjoa, o gbini yili ŋun buri ka ŋmani din bɛ ka yili ŋun palli. Ka o ti kpɛŋ lan yɛla, ehhh, ka o nyɛla da bɛ nyɛ daa. O nuu gbani sheli ka o yɛligu daa ka o yɛri din saa ka o tili o nuu shɛli. N nyɛ Emefa, n naɣili ka nima, ka o ma bɛ yi ka n nyɛ o din n wuhibiɣibu. N daa yi maa sɔŋ ka ka biɛla yɛligu daa — yi ti ka bɛ ka pam!"
54,"Allo, m yɔɣu Ramatu. N bɛ yɛligu n zo o yɛla bee din kul Tamale-Yendi nyɛŋ zuɣu, Savelugu doo. Zuhala bi yini, Asare, o bɛ kaɣa doo zuɣu n nyaɣa possi din be nyɛŋ doo — o bɛ bee o biya kom n tuɣisi possi be kaɣa zuɣu. O bɛ tuɣisibu ni, possi yini gbini kpɛŋ n kaa ka o digindi zuɣu paai. O laa n tiɣ o maa o tiŋ zuɣu n yɔɣ maa, ama o naa o digindi yɛligu daa, ka o nali nyuma bɛ ti gulli o dee dee. N tol ka n nii bi Asare din nyɛŋ doo ni, ka o biya kpɛ maa ni n zo bi yɛla pam. N daa, frɛ ambulance o maa naa, bo o tiŋ yɛligu n naa bɔɣu ooo."
55,"N daa, m bɛ yɛ ni m goli accident din kɔɣi ka ŋuna Cape Coast. M naɣinli biɛla, Afia, OA taxi di o nyɛŋ zuɣu, kpete market diɣa lana. O nyɛ biɛla wula, o si pia ayi bee pia ata ka tani. Di kɔɣi ka o yɛligu daa o nyɣbun diɣa, ka ziim bichim o ŋun zuɣu, ama o ŋani ka o gusiri. Maa nyɛ Alhassan, mini di maa bori la yɛlgu, barka o ma, o nini kana o kɔŋ o daɣim, ka bi nyɛri kaɣa ka bi di o kpe clinic."
56,"Allo! N daa, sɔŋ maa! M pio Asante, kaɣa dini o kɔ Dormaa Ahenkro, nyɛŋ kpɛm do, ka a yɛligu paai. O bia din, o pɔɣibu ata awɛi wala pia, ka o tiŋ yɛligu paai paai — o tiŋ gbɛ ka ziim bee o paai. Mii Nii, n gbɛŋ o kɔŋ bɔ, niba soli tuma ka bɛ nyɛ bɛ naa daa be di. N daa, yi sɔŋ maa ni shɛli, bɔ o be zɔŋ ti kana di, ka yɛligu kpɛm bee o. Yi wa ni viɛla!"
57,"Allo, N daa. M biɛla Ofori, o zuɣu ziŋ bi o yɛsili kɔŋ Tamale ka ti yili ŋɔ. O bɛ kɔm kpɛŋ saɣim din, ka kɔm nim din ŋɔ yɛni o chɛbu — o digindi ni o pam nɔŋ. Ka a yɛligu kuli chɛ paai — ka o niŋ gbɔ yɛsiri bala ni bee yɛligu paai. N din yɛ Kofi, m yɛ o ba. Biɛla ŋɔ bee diri diri, ka o nɔri paai be. Ŋmɛn maa, n bori gbɛra ka bori yɛta — ka ti soli ti ti o nyɛla yili, baa ti tɔŋ o ma ka ti yili ŋɔ bala?"
58,"N daa, m frɛ din ka m yɛl ɔ bɛ din kul ni Nalerigu. M yuli la Mensah, mi naa la di lɛ ŋun yidɔɣu. O biɛŋlana Elinam, o la biɛla, o gbini ka o nuu bii o tiŋ yɛligu — m bɛ daa ziɣa ŋun ni bee ŋun, ama o kpɛŋ o nuu daa yii ka o nyɛni dindim biɛla. Ka yɛligu nyɛm daa zaa la ziim niŋdi bii kul daa ka n yɛl o di wuhiri zaɣa tim daa, ama o ba nɔɣim yii la din ka o yɛliŋ ka zɔm ni biɛla. O ka nyɛ alaafee daa ŋun ni, ama o ti soli daa biɛla. O ba nɔɣim naa gbiɛ o ka din yɛl ɔ bɛ o din yɛl ɔ bɛ niŋ ŋun ni."
59,"Allo, N daa. M baaba paɣa, Nii Laryea, ka zɔɣu chɛ o gbe cɛŋ Zebilla ka. O nyɛra o nuu ku bugum n-niŋ, ka o daɣibu kpɛ bugum, ka bugum chɛ o digindi ni o pam ŋɔ. Felicia la m yuli, maa la o frɛ. O kpɛma daa, o nindaan la, ka ti ziem o saɣim. Amaa bugum ŋɔ ka naɣim daa — ka o digindi ni o pam ŋɔ viɛm ka gɔŋ-gɔŋ bee dii kɔbiga kɔbiga. N daa, yi maa ni ti ŋman da bee o n-niŋ ka ka ti bi tɔɣi o nyɛla yili wɔr?"
60,"N daa, n bɛ yɛ ni n yɛli ɣarɣa din kari ka o kari Cape Coast. M pam biɛla Boateng — o kari shɛli pia awɛi kɔrigu — o ni zaa o ni doli nyɛŋ kobiɣu din bɛ nyɛŋ nii, kobiɣu din saɣim puɣim puɣim saɣindi in, ka o kpɛŋ guu kobiɣum doo. Nib kab bɛ bin bɛ yɔrigum dɔli ka yi o yɔri ka o talili. N bori la Alla puŋŋa. O nyɛ o maa yɛla ka o ŋmɛriɣa naha, ama o nuu yɛligu daa — o nuu diɣini daa woto ka o yi ka nib o dɔli ka o ziim bee o yɛligu ka pam o vexim. Ka n maa yɛli, mi Alhassan, n kari o kɔn zuɣu saa yɛn. A tuma la dɔɣite ka o wa ka o nini o sɔŋim naɣari?"
61,"N daa, n bɛ yɛ ni n tuma kɔɣim dee paɣa yɛligu, o yuli Memunatu. O bee dɔliŋ kaɣa nyɛŋ doli, Cape Coast-Elmina nyɛŋ ni, kaɣa kuri o nuu dɔliŋ sani la ka o gbini yɛlizoli. O kpɛŋ ka o nuu na yiɣisi ka ziɣibu gbaai o nuu. O ti tali o nuu di pam. N yuli Baffour — maa bee ni nyɛŋ doli kuri sani la, ka m bɔri dee toɣo nyaaŋ. A yɛligu ka o ka yɛligu ka o sɔŋ maali. N daa, sɔŋ mi o daa sali ka yɛligu bee o yɛlizoli."
62,"N daa, bɛ din yɛli ka ka kɔ yili din bɛ Ashiaman, ka n bɛ yɛ n yɛl' yɛlgu. N shɛli Abubakar, niba daba gbuni o, ka bi dii o daa o nuu — o nuu yeni ka o da tumi ka o zuɣu n nyi tibu. Mi yɛligu Mensah, n daa n bɛ n shɛli kɔŋ, ka m nyɛ o ŋun din paai. O bɛri mi daa, ama o bɛ yɛliŋ ka o taɣima, ka ka o ti soli wala. Ti bori nindɔɣli n bi so yi ti sɔŋ o, ka kana yi nyɛ yi yɛl ti bɛ yɛ ti di naayɔɣu."
63,"N daa, nɣɔ bi tiŋ kɔ ŋa Goaso, ka n bɔri kɔ n yɛl' nyɛla. N yuli din bɛ Ofori. N bɛ yɛ ni yɛl' dabi ŋun puɣu bi yuli din bɛ Naa Dedei — aboboyaa kpɛŋ o nyɛŋ zuɣu, ka o gbini kɔ zaɣa zaɣa. O ti kpaha o ŋun nyaa ka o yɛl' ka o ŋun yɛligu o, ama o nyɛ o maa ni zoli, ka o gbilim yɛla biɛla biɛla. Ka nyɛla ka bɔŋ paɣa a daa, ama o bɔri sɔŋ, bala ka o kpaha o ŋun nyaa zuɣu ni ti sɔŋ o wula."
64,"N biɛla Amoah, o bɛ n sɔŋ ma tuma kɔŋ n yili ka la Yendi, ka o nuu gbɛ dɔɣim ka zaa o li nyu, ka ka tool kɔŋ bee tuma pam naa la o kpali. Ka ka nyu ka da yɛli zaa, nyu biɛla di la, ŋun kaa yɛli zaaa. N nyɛ Edem, n bori dii la n naan yiɣi la dini kpɛŋ ni. O nyɛ alaafee, ka dini bɛ zɔɣim o bala, ama o ziim bee la naa zoli."
65,"Allo, N daa — m frɛ chɛŋ ka bia biɛla, Muntari, o gba chɛŋ ka zinli kpihi o, ka m bɛri o daa. Ti bɛ Kintampo gari, nyɛŋ so o bee Kumasi, ka o yibu o zaa danni — zinli kpahigu o digindi ni pam so. O yaa bia, doli pia ni ayɔbu kɔbihi, ka o niŋ o so yɛligu daa — niŋ pihiri naa, a bee ka o gbini ka o niŋ o doo so gbani — ka m pam yɛligu o bɔri. O bee so yɛla ka o diri yɛli ka Naawuni sɔŋ. Maa bɛ Esi, o naayili pɔ, ka m bɛ ni o yibu o din. Ama ti bori n nyɛ la yɛla — bii ti ni diɣim nyɛla yili ka ti bɛ ka ti ni ŋmɛ ka ti naɣi din."
66,"Allo, m yɛligu Dzifa. N frɛ ka bɔri n yɛl ŋun o paɣa biɛla din n si o la ka o bi Cape Coast. O yɛligu Naa, ka o tuma tailoring shop pɛlim, ka o daa tuma sewing machine din, ka o nuu gbini ka needle kɔli o nuu tiŋ pɛlim. Ziim bee o, ama o biɛla yɛ, ka o nyɛ o nyɛla zoli, ama o tiyali ka o gbari ni ka daa yɛligu ti pusum. Ti daa kpali tɔɣo o zuɣu, ama ti bori n bɛ yi o ni bori ti o wa kuli be ka ti yibu o pɛlim ni ka ni yuu o la wuhim, kakali diin pɛlim ka o yɛligu daa duhirigu."
67,"N daa, n bɔri kɔligu accident din kɔŋ ka din Suhum. N dinzɔŋ Asante, o nyɛ kpɛma, aboboyaa daa dii o nyɛŋ zuɣu tintali bi. Aboboyaa daa dii o zoɣo pilim, o digindi ni o pam dali, ka o gbini pam. M yuli nyɛ Ramatu, maa yɛ din frɛ — n daa bɛ o din kɔŋ ka n sɔŋ o kɔŋ nyɛŋ diɣli. O nyɛ o maa soli ka o yɛlim, amba ka yɛligu bee o, ka yɛligu bi kɔ pam, amba o bori la dɔɣite o nyɛ o."
68,"N daa, n bɛ yɛ ni n yɛl' ŋun diri maa n yɛla Yendi. N pam nyɛla Asare, o kpɛma kuli, o nuu ka din ka bɛ o yili din o wuli — o nuu ka yɛligu sõhim daa, ka o nuu gbɔɣim bɔri. N yuli din Owusu, n ti nya o kani, ka n vi n yiŋ yɔhim din m mɔɣ din bee yɛla, n nyɛ din o nuu yɛla. O bɛ wuni bɔ, amaa o nuu yɛligu o daa sõhim, ka o kpan' o nuu nya. Yi yiŋ kuli n kɔ n sɔŋ o, biɛla n yɛl' yi o bori din o mɔŋ."
69,"Allo, nyɛ maa. M yɔɣu la Dela. N bɛ yɛ ni m frɛ sɔŋ maa ka m sabi accident din kpɛŋ kaa Cape Coast ŋɔ. Sɔɣibu yɔɣu Kpodo — o ti biɛla daa, o wuhiri din o bɛ karli pia awɛi wɔ pia ayi lan nɔŋ — trotro gbini o nyɛŋ zuu. O tiŋ yɛligu ka ka ziim bee o daa, ka o tiŋ kpɛŋ tɔɣim. Ka o yɛli kaa o tiŋ yɛligu o puuni daa. Amaa o soli daa, o bɛ yɛlibu la. Ti maŋa ka o chɛ nyɛŋ nuu ka o gbɛŋ be diri o sibu. N daa, ti bori sɔŋ — ti bɔri dini ti bɔri di ti be biɛrisi din ti boro bɔri la, wala o boro dee Nyɛla yili la nɔŋ. Yi maa sɔŋ doo."
70,"N daa, m bɛ yi yɛla ŋun kɔni. M yɛligu Hamza, ka m doo Yakubu — o gbini Takoradi market kɔɔn, o kpɛŋ n kɔni din naɣa naɣa. O ŋun gbini zuɣu saha o kpɛŋ yɛ, ama o gari, o ti soli ka a. O bɛ yɛ ka yɛligu dindim o nyɛɣi zuɣu, ama ka nyɛ ku daa yɛ. Miri din miri ka n kɔni ni n fɛla yɛla yɛ ni kaaboɣisigu."
71,"N daa, m bɛ yɛ ni m yɛl' yin accident din kɔhi ka gbɛriŋ kana Navrongo. M yuli la Muntari, ka m frɛ yin n yaba Asare tuma. Shared taxi dini kpɛŋ o nyɛŋ zuu — ka di ka bɛ nyaaŋa daa. O nyɛ taɣim, o bɛ kuli yɛligu ʼdiŋ, ama o tiŋ yɛligu daa ka o nyɛ ka yɛligu bi o ŋɔ. Ti nyɛ yin tanka, doo, di nyɛ o ti gbɔyiɣi daa puɣiŋ ʼbe, ama ka tiŋ kum kɔri — ama ti bɔri la ka dɔɣite nyɛ o ka di di sɔŋ ka n nyɛ a kuli taɣim bi."
72,"N daa, m frɛ yi ka m shɛli accident ŋun be o nye Hohoe. M pↄɣ Maame, o yɛ biɛla, kaɣa gbaŋa gbɛli o nyɛŋ zuɣu, ka o kpɛŋ dↄɣu pam. Dindim bee o ŋun ni o gɔŋ — o bee nyu shɛŋ, ŋun n ka yɛligu o, ka o paɣ ka o ti zuu o gɔŋ maa ni. Kweku bɛ n ya m be o wɔribu, ka ti bori sɔŋ bɛ ka ti zina ka ti yɛli ti ti pa ka ti ti soli o shɛŋ, bala ti yɛlla ka ti bori yi sɔŋ tuma."
73,"N daa, n bɛ yɛ ni n tuma yɛla bin kɔhi kɔɣa bi paɣa yɔɔ, Mankessim doo, Kumasi-Cape Coast nyɛŋ so. N yi yɛla n tooi Vida, ka bi paɣa so yɛla n tooi Abubakar — o bee pia anu wala pia ayɔbu be o zuɣu. O kpɛŋ pam niŋ bin bee nyɛŋ doo so — n gbɛya o kpɛŋ kum pam wala niŋ bin dali — ka o daa zɔŋ pam kɔn ti biɛla bin bee shɛli o daa gɔli o suɣuri. O tuma yuliya ŋɔɔ, Naawuni puŋŋa, ka ka o nuu gbini din binba bee ŋɔ o suɣuri naɣa — o nuu bee toobu ka o zoli o ni lalibu. Miri n bori la dɔɣite wala nindaa naŋ di pahi ka o dini sɔŋ o wuhiri o ŋɔɔ ka o tuma ŋɔ zaŋ ka o nyɛla."
74,"N daa, accident bi kpɛŋ Takoradi-Cape Coast nyɛŋ so, Anomabo daɣi. Dirim biɛla o yili Selorm, kaɣa ŋmɛ o — m nyɛya o bɛ yini-piahi saha. O gbini nyɛŋ so, o ŋun ni o ŋun tirgili gbɛribu kpɛŋ o daa, n'a ziim ɣeya o ŋun la, ama o nyɛ piibu ni o gbera zaɣibu. M yili Akosua — n bɛ nyɛŋ so, n nyɛ o ka kpɛŋ, daɣi ninsalinba chɛŋ o daɣi diɣa. N bori sɔŋ, yi wa nyin kpɛŋ maa, doɣite n'o nyɛ biɛla la a yɛ."
75,"Allo, m yɛligu din be Maame, n bɛ kuri ka n yɛl' yɛla gbansiɣa wula din naɣa Kintampo kɔhigu, nyɛŋ din bee Tamale. Nindaan din yɛligu din be wula, o yɛligu din be Wiredu. Niba doli naɣ o, n'a gbɛ o soo ŋun kɔhigu ni kpe o kutorinsi. O kpɛma, ka o bɛ tɔɣi ka o ni dii, o gbini ka o be ŋan doo. Ziim bee o ŋun kɔhigu ni. N daa, yɛla ni ka yɛ ka yɛligu, o bori la sɔŋ zeei zeei, a gara din naɣ o bɔhim yɛlgu."
76,"N yɛligu din Fuseini. N daa, m bɛ yɛ ni m yɛl accident din gbɛla Takoradi-Cape Coast nyɛŋ zuɣu, Anomabo doo. Nindaan do, din bi o yɛligu Owusu, kaɣa do dɔɣi o, ka o gbini zaŋ nyɛŋ zuɣu ka o yibu. O tiŋ naa o nuu yɛligu daa, bimba o pa ka o bi tumi o yuli ni o pam gari, ka o bɛri mi viɛla. Ama o nyɛ o miri yɛla, ka o ŋɔbi be dali. Ti tɔɣi o nyɛŋ zuɣu ka nib dohi be n yaabu ni o, ama o bori sɔŋ ka o bi wa ziŋ. N daa, yi wa sɔŋ o ka yi daa wa ka yi ka yi wa zaŋ ka yi wa."
77,"Allo, N daa. M bia Kofi, o kpɛŋ accident o ni Takoradi-Cape Coast nyɛŋ din, Anomabo kɔŋ. Mi yɛla o maama, n yɛligu Elinam. Kaɣa yɔɣi o wɔ, o ti nyɛŋ doɣim din — o yɛla biɛla, wuhim pia ayɔbu gbana — ka o kpɛŋ, a yɛligu be o tiɣim, o digindi kɔŋ ni o pam kɔŋ din. O be soli, o daa yɛribu, o bɛ dɔri tii, ŋun n bɛ kɔŋ o yɛligu doo yɛligu be o. Ka m bori la n pɛ yɛla ni. Ti bee nyɛŋ accident din dɔɔ doo."
78,"N daa, kuli kɛ be yɛ ka kuli kɛ pali ka be Techiman ka m bori sɔŋ. M yuli di bɔ Efua, ka m be yɛ ka m dau biɛla Yaw yɛla ku zuɣu. O gbini gbana kɔligu o yi kpe yili ka o ŋun pɛ yuu zuɣu ka din daa zoli. O ti soli aŋ yɛ amaa o be yɛ ka a yɛligu daa o kpɛra la, ka o nyɛ mini niŋa kaaboɣibu. Ti bɛ soli ka yɛ ka o ti bɛ o maŋ yɛla naa noɣu."
79,"N daa, n bɛ yɛ ni yɛla bi yɛligu n di yɛla n biɛla Kpodo din kpɛŋ ka ti yili kɔŋ ka be Bolgatanga. Biɛla no nyɛ o di nyɛ kɔŋ — n nan nyɛ bɛ o bɛ di nyi gbɛŋ o be yɔ — ka o gbini ka o nuu gbɛlɛ yɛligu o din kpɛŋ wari. O nuu no wahi daa, ka o yɛliya o ni ka yɛligu daa ka yɛligu o pam, ama o nyɛla din soli, o be yɛligu be. O tuma biɛla yini, o din doli pia ni anu wɔ, ka m bɛri mi n pam ka wahi o no ti gbuli. N daa, ŋun be o ni na sɔŋ ti, maa yɛl maa n ni m bu di yɛla bee ka m di bɔri?"
80,"N daa, n bɛ yɛ ni n wilim dabi din kul kpɛma nini Techiman. N doliŋ Mensah, o kpɛma daa, o bɛ tuma — n daa o bɛ soli kaba tuma kana kana puuni — ka o nuu kuli o, kana o nuu biɛla, n nan nyɛ fofoo. Maa din frɛ, n yuli di Amoah. Ka yɛligu biɛla la, soli ni yɛligu biɛla la, ka o bɛ nyɛŋ fofoo, n'a yɛ o kpɛma na, tɔ ni ka ti yɛ n frɛ. O bɛ bagi ŋɔ, ama ti bori in yi ni wuya: a yɛ o di ku nyɛla yili, kana ti tɔŋ o kuli yili?"
81,"Allo! N daa, sɔŋ maa! N biɛla Mawuli, pragyia dɔɣi o gbɔŋ wula yi Hohoe-Jasikan nyɛŋ ni ziɣi. Kaɣa biɛla dɔɣi o, o gbini, ka o nuu yɛligu daa — o sɛɣim bɛ, ka o nyɛ o nuu, ama o tiŋfili tiŋ n-zaɣi kpaaŋ. N yi nyɛla Boateng, m nyɛ o ba. N daa, yi tumi ŋun gbali o, bala biɛla yɛligu nyin ka a zɔŋ o ta shɛli la, n bori la dɔɣite ni o wa gbali o, ka n ti yɛli a lala n bɛ di biɛla yɛligu n ti bɔri yɛla. N daa sɔŋ maa!"
82,"N daa, n bɛ yɛ ni n yɛl'a kuri din Mali ka yeli Wa Central. N ziɣim biɛla, Amoah, aboboyaa gbini o nyɛŋ palli. Biɛla naa o yɛligu — o yela ka amani shɛli pia awɛi ni ka pia, ka o tiŋ yɛligu daa accident puŋ — o tiŋ kpinli ka o sori di tiŋ zɔɣi daa. O ti soli kaa, ka o maa yɛla bee o, amɛ ka yɛligu nyan'o daa, ka ti bɛ yɛli bala. M yuli n yuli Fatima, ka ti bori la o doo bin bi n sɔŋ ti, ka yi nyi bin ti bɛ bora di wuhiri ti."
83,"Allo, m yɛligu din Nhyira, n bɛ frɛ ka n yɛl' yin din suhurli Takoradi market daan bi yɛsim. Nindaan yini, o yɛligu din Fuseini, bihi bihi kpɛm o doo bɛ stalls kolin — o gbini ka o nuu yɛligu. Amaa o nyɛ o maa yɛla n bɔri, ka a bɔri ti yɛli wuhigu paɣa — o nuu mal' maŋ din daa viɛla, ka lahi tuln' biɛla bɛ ŋɔ ka. Nindaan yini n daa nyɛ o doo o sali ka o bɛ chɛmdi biɛn, amaa n daa nyɛ m daɣili ŋmaŋ ka n frɛ, bo dini o nyɛ kpɛma ka n laa o suhuli ma."
84,"N daa, m bɛ yɛ ni frɛ yɛ la ti nyɛŋ accident biɛŋ bee la Accra-Cape Coast nyɛŋ ŋɔ, Winneba zaɣiri la. M pio Akua bɛ trotro ŋɔ n bee, ka kaɣa yɛŋ ŋɔ naa ti o trotro ŋɔ yuu. O tiŋ yɛligu daa — o tiŋ ŋɔ yima, ka o pa kuli di nyɛ be la. O bia, lan-niŋ pihira ni awɛi yɔbu la n dali, ka diɣa nima bɛ o zaɣiri nyɛŋ ka bɛ sɔŋ o la. N yuli Nii, ka maa bɛ bori la o zaɣiri, ama m wahi frɛ yɛ tɔŋ naɣili k'a yɛ nini so kuli ti i gba o yira."
85,"N daa, n bɛ yɛ ni kuri n yɛla bi bia doŋ mali n yɛla, o nyɛ Hohoe-Jasikan nyɛŋ doo. N yuli n yuli din bi Efua, ka biɛla din yuli Ibrahim — o bi bia, din kpari so tibu yɛla. O wɔribu o mɔribu doo, o kɔɣim doo ka mali dɔɣim baga baga, ka kaa ni tee yɛligu paali — o nyɛ ziiri biɛla ka ka ziim bɛhigu ni ka kɔm mali. Ti niŋi so din nyaɣim yibu ka nuu ŋun tiŋ zi ka o duɣiri. O ŋmani lɛ, ka o tumi yɛli, amaa ti bori la dɔɣite a wa o nyɛ naŋ sɔŋ ti daa."
86,"N pio, Gifty, kaɣa daa gbɛ o Tarkwa zuɣu, ti yili daŋ. O yɛ kpɛma, nindaan, ka kaɣa daa gbɛ o tiŋ kpɛŋ — o tiŋ wuni, ka ziim bee o haali. Maa yɛla N daa, maa nyɛ Kwabena, n yɛ o diɛma biɛla. N daa, o pa kuli o tiŋ zani, ka o pam yɛligu o daa yɔɣim. Ti ti gbɛŋ haali o zuɣu. Sɔŋ maa! Frɛ ambulance, n daa — o bori nyɛla yili dama dama!"
87,"N daa, m bɛ yɛ ni m frɛ shɛli bɔri, barka. M zawli Alhassan o kpɛ accident nyɛŋ so zaŋ. O bia diri Darkuman bee din kuli, OA taxi o suli a nuu so, n bɛ o nuu ka yɛligu daa kaga, ka ziim bee diri doo bɔŋ, ama Naawuni sɔŋ, o yɛligu n daa zaa. O bɛ dɛm dɛm tol wuhigu, ka o nyɛ dɔɣirigu. Doo, ti diri o yili be o daɣim. N tuma nyini, N niŋ maa Elinam, m bori maa shɛli n niŋ pam, n bɛ yɛni o, kpɛŋ o ti bori la dɔɣite yili zaŋ bee nyɛla yili, ka shɛli n nyɛ yɛlim."
88,"Allo, m yuli di Ramatu. N frɛ yi sabab bia pam yini gbini doli — biɛlim, o yuli di Adjoa — o gbini Techiman kɔɣim, Kumasi-Sunyani nyɛŋ doli. Nyɛŋ daa kɔɣim yini bɛ ŋan, ka o gbini o kuli daa kum pam yini, amaa nima bɛ ŋan ka ban kpani o dali dali. Ŋaan, o nyɛm taariga, Alla puŋŋa — amaa o kpaŋkali yɛligu o din, ka o n-yɛri a o ŋun nyɛ ku-kpɛm. Ka yɛligu bee o din sana bɛ daɣiribu, o nyɛ o guu ka o yɛliɣu — amaa tia koo bee maa ka ti bori la kuli. Ka ti gbɛŋ ti n-daa bori sɔŋ la, ka ti kuli sɔŋ yi — o bori la dɔɣite bi? A nyɛ n daa ni."
