id,narrative_ga
45,"Hɛloo, ofainɛ — dɛbi bii Abigail ne, ohe Hohoe-Jasikan kpee so, trotro bumo no shikpon fɛɛ. Oblɛ yɛ — maybe seventeen. Miyɛ ni naŋ, mi din yɛ Hadija. Ehii no ni ŋmɛi yaŋ akɛ shi akɛ, akɛ kɛ kɔ kɔ no ni ŋmɛi so — shwe kɛɛ pii o — eko. Onyemi le akɛ, ogbɛɛŋ kɛ wɔ. Mɛhe ni nɔ ni abuuji. Chale, miwɔ ke frɛ nɔ fee, wɔ nyɛ kɛ nyɛ shia ni eehe."
46,"Ofainɛ, chale, something bad happen na mitsɔ report. Ɛŋ friend mi Muntari, wɔbuɔ no wɔ Hohoe-Jasikan kpee la, nnɔɔ bi fii no pɔ. Wɔtɔ no ŋmɛi la, na ɛŋ neck nɔ ehii no — ŋmɛi kɛ neck ni hii no — kɛɛ onyemi le nɔɔ, ohii le nɔɔ, so mitsɔ nyɛ ni serious kɛkɛ o. Miŋ Abubakar, na me kɛ no wɔ ŋ shiaŋ lɛ wɔ ni happen. Chale, boa mi — yɛhia somebody fi bɛ boa mii, kaa ɛnyɛ o, mɔkɔ, shi yɛ fɛɛ ni yɛ mɛtɛ ni ye — ɛfee Muntari enimɔ fine o gbɛɛ."
47,"Ofainɛ, mɛhiɛ bɔɔ kɛ mɛ ka bɔɔ ni hɛ mi ni Axim. Mii nyɛ Felicia, kɛ mɛbumo shi yɛ ni shia jɔ — mɛhiɛ tsɔɔ stairs ji kɛ me gboo ji slip. Gbɔ ji ni hii mi, kɛ enyɛ serious raa — hii kakra wɔ ni, kɛ swelling kakra wɔ ɛ. Mɛtsɔ kɛ move ni kakra kakra, chale, mɛsɔ susu kɛ fracture bi enyɛ ni."
48,"Hɛloo, ofainɛ — mi yɛ Amankwah, mífrɛ mi loo. Mi nuŋ Kojo ebumo bii bɔɔ yaŋ ha Wa Central, ne egbe gboo ehii nɔ. Enilɔ serious pɛɛ o — oshie ke oshie kɔ, shi elonge, kɛ oshiɛ gboo ehii nɔ dɔŋ. Nɔ ŋɛ, ɔnyɛ ni kɔ hospital o — enye ni kɔ o — kɛ mii shishi ke hospital ni hɛ nɔ well. Chale, ofainɛ — obiɔŋ ni tumi advise mi shikpon? Yɛ ni bɔ nii? Mínaa nɔ dɔŋ."
49,"Ofainɛ, accident bi etɔɔ Hohoe-Jasikan road so kakra kakra agooo. Oblɛ bi, wɔfrɛ ni Selorm, ɔwɔ pragyia so, pragyia ɛtɔ kpee so ŋ hɛ. Mii yɛ Sulemana — mɛhɛ kpee ŋ ni etɔɔ ɔhɛ. Oblɛ no oni le, ɔkasa kasa, shi sane — kɛ ni hii ni gbɔɔ kɛ shi area, like wɔ body middle ŋ hɛ. Enyɛ tɛtɛ dɔŋ, kɛ yɛ suibi ni doctor bi ni obi bɛba check ni ɔhɛ."
50,"Ofainɛ, metsɔ bɔ report shi yɛ kɛ ŋ le Dormaa Ahenkro lɛ. Chale, mi tsɔɔ Nhyira ko dispute kɛ wɔ gbɔmɔ ɛfɛ market lɛ kɔ — shia wɔ ko argue kɛ payment shi wɔ goods lɛ fees, na wɔ gbɔmɔ lɛ hyɛɛ no slap wɔ ŋmɛi shishi na opush no. Ɔbumo bɔɔ o, amɛ wɔ neck lɛ hii ŋ, na ɔshɛɛ no wɔ ŋmɛi lɛ pound ŋ pɛpɛ. Mi din na Muntari — mɛ le shia wɔɔ shi yɛ waa. Yɛtsɔ bɔ report properly because wɔ gbɔmɔ lɛ yɛɛ no fɛɛ — no provoke o — na Nhyira enyemi fio o."
51,"Ofainɛ, bɔɔ ebaa Dansoman ha, enyɔ shi ye. Mi jimanɔ Araba, otsɛ kpee kɛ market fɛɛ bii, tipper truck bi hɛ eni, ebumo baafu. Eni gboo ya mɔɔ, ni hii eni kɛ enyɛ bi tee gboo ani shɛɛ o — kɛ enyɛ bi tɛɛ eni gboo ani o. Kɛ eni oni le, oshɛɛ okwɛ. Miiyɛ Vida, mibɔ eni ha shiwo, yɛ lɛ boa — yɛ nyɛ nyɛ sabe sɔ bone bi wɔ fracture kɛ enyɛ o. Ofainɛ, frɛ ambulance maa yɛ ha."
52,"Ofainɛ, bɔɔ kɛ ni shi kɛ la Sunyani ha, mi hii bo mi bɔɔ. Minute dɛbi — ŋshɔŋ dzɛŋ — wɔn yɛ Appiah, obumo shi nshi, yɛ oshi le tsɔ hii afɔ. Mɛhe mii shɔ naa oshi kɛ tɛŋ la, mii nii ye efi nshi. Woyɛ efi nshi shi, eni mɔ gbɛ pɛpɛɛpɛ — enyemi le yɛ, enimɔ gbɛ kɛɛ. Appiah ehɔmɔ le, la hɔmɔ ko niɛŋ, enimɔ tɛŋɛŋ — wonyɛ eyi Appiah, enimɔ fɛɛ. Shi ni gbɔɔ ni — shi ni gbɔɔ ni lɛ nmi le kɛɛ, lɛ shɔŋ lɛ, chale, ehii mi. Ofainɛ frɛ ambulance mli mli — oblɛ yi lɛ ni shi tɛŋ. Mi yɛ Maame, mi le ha fɛ Appiah ha, mɛmi ye wɔn bo. Mli mli, bo mi!"
53,"Ofainɛ, bɔɔ shi niɔ amɛ kɛkɛ le Bawku. Emi neighbor dɛbi, Adjoa, obumo fɛɛ mango tree kɛ bo ofanɔ ni eshiɛ ha, ehhh, oshi nyɛ kɛkɛ o. Ɔni gbɔ twisi kɛɛ wrong way kɛkɛ, na oni hii shi kɛkɛ, na ɔtiti move εi o. Mii nye Emefa, mitsɛ next door, na ɔni maŋ le ha o, emi ŋ ye ni frɛ. Ofainɛ, yɛhia help fast chale, dɛbi ni hii shi kɛkɛ."
54,"Hɛloo, me din bi Ramatu. Mifra shikpon kɛ bɔɔ bi nɛ eko Tamale-Yendi kpee ji, kɔŋ Savelugu fee fee. Obaabi dɛ Asare — obi nyɛ oblɛ bi — ɛɛ, onyɛ wɔ ji kaa gbɔɔ ji shwee grain sacks tsoo truck ji lɛ kɛ kpee tɛɛ, na sack kɛɛ ebumo ejeŋ oye — eeye, ewui gbɔɔ ji fee fee kɛ force. Chale, gbɔɔ lɛ bi nɛ hihi ni. Kɛɛ oni le, onyɛ wɔ shikpɔŋ oo, kɛɛ obi yɛ ni ribs ji hiihii ni oo, kɛ hɔmɔ lɛ ayɔ ni bi oyaŋ wɔ yɛ. Mɛbo wɔ kpee tɛɛ na manya ni wɔ niŋ, na wɔ bii mi mafrɛ frɛ kɛ mɛshiishii. Ofainɛ, frɛ ambulance yɛ wɔ fee fee."
55,"Ofainɛ, accident bi ehii ŋ yɛ Cape Coast ha. Mi hɛ mli dzɛ mli oblɛ, Afia — kaa OA taxi bi ebua ŋ kpee ni, kpakpa market kɛ. Oblɛ bi ye dɛbi kɛ, ehɛ seventeen oshiŋ oshiŋ. Knock bi nyɛ strong paa o — ŋmɛi ni kɔŋ kɔŋ ehii ŋ kɛ, shwe kakra etsotso ŋmɛi ni bɔɔ, naŋ Afia oni le kɛ oye kasa. Miŋ yɛ Alhassan — mifɛ frɛ shikpon ei ŋ ei ŋmɛ yɛ Afia maŋ kɛ wɔn shikpɔŋ ha bi, naŋ wɔŋ hei kaa bi wɔ tɔ clinic kɛ."
56,"Hɛloo, boa mi! Boa mi chale, ni serious paa! Nua mi Asante, kaa bumo ŋ shi kpee ha Dormaa Ahenkro, close to main road no. Ehii ni serious paa chale. Ɔnɔ young guy, maybe nineteen or twenty, na gboo ŋ ehii ŋ kɛkɛ — enɔ fracture paa, na shwe etsotso ŋ pajojo. Mii Nii, mitsɔ ŋ ji joo, na niibi dumo ha, bɔ eŋmɔ nyɛ ni boa ŋ. Ofainɛ, boa mi swift paa! Ɔnɔ tɔŋ gboo ŋ shɔ o — ni ehii ŋ kɛkɛ chale. Frɛ ambulance shi ji joo! Boa mi!"
57,"Hɛloo, ofainɛ. Me din ne Kofi — mɛ bi Ofori, obuɔmo ni afternoon afei, yɛni compound shi kɛ Tamale. Ɔhii kɛ cooking fire — hot water etɔtɔ ŋ, obuɔmo ŋ gbɔɔ kɛ shi area. Enye serious paaa — skin ŋ eji pɛpɛ red, kɛ ni hii kakra. Dɛbi no oyemi le, ɔtsɔɔmɔ fine, kɛ ɔyi too too ŋ tso. Mewɔ lɛ mɛkɛ frɛ kɛ naŋ — yɛni bring ŋ hospital, abi yɛtumi treat ŋ yɛni fie? Boa mi, chale."
58,"Ofainɛ, mifra lɛ shikpon kɛ report bɔɔ lɛ ni esii fɛɛ ha Nalerigu. Mitsɔŋ Mensah, mibɔ neighbor ni ofoi mɔkɔ. Wɔn dɛbi ba lɛ, Elinam, obumo naagbee — oblɛ lɛ — oshɛ egbɔ kɛ gboo lɛ ehii nɔ — mishi nyɛ kɛkɛ which one, kɛ oshɛ etam ni ocry kakra. Enɔ naa serious denn, wound big bi mli o, kɛ bɔɔ shishi ba lɛ pɛɛ wɔn baa report just in case. Oni le kɛɛ naa, kɛ oshɛ etɛŋɛ kakra."
59,"Hɛloo, ofainɛ boa mi — grandfather mi, Nii Laryea, fire kɛ no ŋ saa ŋ tɔɔ. Ŋ bie ɛ, ɔhii ŋ kɛ fire hiɛ ŋ Zebilla. Ɔyɛ ŋ ji ŋ dzɛɛ fire kɛtɛ nɔ, na ŋ ntɛɛ kɛ flame, ehi ŋ gbɔɔ kɛ shi ji. Mi yɛ Felicia, mii frɛ ŋ. Ɔ yɛ gbɔmɔ, ɛnɛɛ ni mii tsui ŋ naanaa — ɛŋkɛ kɛ fire hiɛ ŋ ɛnaanaa, skin etsɔɔ ŋ, kɛ blisters le hiɛ ŋ. Ofainɛ — ni mii bi, hana mɛɛ yɛ nɔ bo ŋ baahi, ebi mɛɛ kɛ ŋ kɛ hospital?"
60,"Ofainɛ, mitsɔ mli report bɔ yɛ Cape Coast. Ŋ nephew Boateng — nineteen years oko wɔ — otsɔ obua kɛ cross drainage channel bi fɛ kpee fɛ ŋ, shikpon ni flood fɛ rain fɛ tɔɔ, ne oshuu ne ebumo bo ŋ shi. Nnɛ wɔ bi fɛ ŋ gborɔ ni kɛ twe no mli akpɛɛ, Nyɔŋmɔ akɛ enyɛ. Oni le, ofo kɛ yɛnii, naa ŋ gbɔ ni hurt wɔ bii ni wɔ tsɔ twe no mli — ni blɔɔm ebe ne ehii no. Me nye Alhassan, mele kɛ ŋ sɔŋ, ŋmɛnɛ obi bi frɛ obua ne check no kakra agbaa?"
61,"Ofainɛ, mewɔ bii report kɛ oshɔ Cape Coast-Elmina road ŋ. Ojugbaŋŋ bi, wɔfrɛ wo Memunatu, ɔsɔŋ bicycle kɛ kpee fɛɛ ŋ, nɛ kaa bi wɔ ji ebuɛ etsɔɔ eha ehii wo gbɔ ŋmɛ, nɛ obumo kɛ enyɛ nyiɛ. Obumo gbɔ ŋ — gbɔ he mɔ aweni ko, nɛ etsi gbɔ he fɛɛ o. Mii nyɛ Baffour, mibuɛ etsɔɔ mɛi kpee ŋ, nɛ mi hɛɛ gbɔɔ oshi nyɔŋ. Ofainɛ, boa mi frɛ ambulance shi faa enyɛ nyiɛ — ehii wo kɛ enɔ nyɛ serious pɛɛ."
62,"Ofainɛ, bɔɔ biɔ akɛ Ashiaman hɛɛ yɛ kɛ mɛ fɛ report ŋmɛi. Mi jɛkɛ Abubakar — mɔ nɔŋmɔ — nɔkɔ nibii ekɛ enyɛ ŋ lɛ, mli ebuɔ ni shi enyɛ gbɔ wɔ — gbɔ lɛɔ ebuu kɛ onyɛɛ tumi bɔ shi gbɔŋ. Mɛhɛ Mensah, mɛ te shia yɛɛ kɛkɛ, kɛ mɛhɛ akɛ bɔɔ nɛ bi ekɛɛ shiaŋ. Ehii ni shi gbɔ wɔ lɛ, shikɛ oni le kɛ ekasa bɔɔ — enyɛ akɛ obumo gbɛ oo. Chale, yɛ hiɛ mɔ ni bɛ yɛ hɛɛ boa ni, ɛnɛ yɛ bɛ nu akɛ yɛ nɛ ni ye."
63,"Ofainɛ, something happen wɔ Goaso ha, mi nyɛ report. Mi din nyɛ Ofori — mi frɛ frɛ ni shia ni oblɛ Naa Dedei. Aboboyaa buɔ mo wɔ kpee, ebumo gboi. Oni le, eŋmɔ kɛ eheemɔ ŋmɛi ni hii mo, kɛ etsɔɔ small small. Enyɛ serious kɛkɛ o, kɛ chale, omo kpaa boa — enyɛ able ni faa ŋ kɔlɔ well o."
64,"Chale, dɛbi bi Amoah mi bo mi work around the house wɔ Yendi, na gbɔ bi ehii — tool wɔ yɛ use ooo, eshwe ni obumo small cut. Enye deep paaa, wound kakra pɛɛ, boa shwe etsotso wɔ ni slow down already. Eoni le, enye wahala paaa, scared kakra pɛɛ. Mi din Edem — mi hɛ report am properly ni. Onyɛ ko bad paaa, boa Amoah oshi le."
65,"Ofainɛ, mibɔ call ni Muntari, mi nephew, fire ehii no — mi nim worry paa ni oshie. Yɛ bii Kintampo kɛ, kpee shi nɔŋ Kumasi fee, na ehia — obe help kɛ shishi nɔŋ, na fire ekɔ ono gbɔɔ kɛ shi shi. Oblɛ dɛbi, years shia sixteen, na skin ni gbɔɔ kɛ shi — enɔŋ fɛɛ paa, red kɛ blisters eba, chale enɔŋ fɛɛ paa. Mpo Nyɔŋmɔ shia, oni le, ona kasa. Mii Esi, oni auntie, mibii oshie nɔŋ, mpo yɛ hia sabi shishi to do before yɛ tumi faa hospital."
66,"Hɛloo, me din bi Dzifa. Mifre lɛ akɛ oblɛ bi yɛ ni Cape Coast. Naa yɛ tailor shop bi ni, eye wɔ sewing machine ni wɔ bɛ hewɔ, ne gbɔ blɛɛ shi sewing machine lɛ ni, needle kɛ gbɔ-nyɔŋ bi gbɛ etso. Shwe etsotso, enyɛ bebree o — enyɛ kakra, eye Naa oni le, enyɛ shishi loo, ŋma shishi dani kakra lɛ akɛ ofiɔ. Yɛde cloth bi atɔ ni so, nye yɛpɛ ni yɛhũ sɛ ɔhia oba hospital anaa clinic bi ni, na wɔ clean wɔ dress wound lɛ yɛyɛ, akɛ wound lɛ ko fɛɛ."
67,"Ofainɛ, mɛ shɛ accident report mli — accident bi ewɔ afɛ ha Suhum. Mɛ jiɔ Asante, gbɔmɔ bi, aboboyaa bi ekɔ ehi ŋmɛi kpee shɛ ni hewalɛ. Aboboyaa bi ebii ni gbɔɔ mli kɛ shi nɔɔ, ni ebumo kasɛkasɛ fɛɛ. Ramatu ŋ dzii — mɛ ŋmɛɛ frɛ frɛ — mɛ bɛ ni shia le ahe ni ebumo naa, mɛ kɛ bo ni jɛkɛ kpee nɔɔ. Enyɛ gbɔmɔ ni oni le kɛ ebaa yɛ yɛ, ŋ bɔ ehii ni, noko enyɛ kɛ atɔɔ wo ji, kɛ otsɛ doctor bi hu ni."
68,"Ofainɛ, chale, mɛ bɛ report bɔ ni ehii kroŋ kɛ gbɔmɔ kɛ Yendi. Emi naaborɔ Asare — oye gbɔmɔ pɛpɛɛpɛ — onipa bi bɛ dɛ obuɔ ni oshɔ le ɔman — wɔbuaa ne gbɔ yɛyɛ hu, na tsɛke ne gbɔ fɛfɛɛfɛ noko le swollen. Miiye Owusu, mɛ tso ne shishi, na mgbe mɛyɛɛ ewiemfo no, mɛfiri hɔ bɛhuu deɛ ebeɛ. Ɔnhwɛ sɛ ɔbɛwu, na ne gbɔ no ehii ne pɛpɛɛpɛ yɛyɛ — ɔntumi ɔnsane ne gbɔ o. Ofainɛ, yɛhia onipa bi bɛba boa no, anaa mɔ kɛ yɛ ni shia kpee lɛ dɔɔŋ."
69,"Hɛloo, mi nyɛ Dela. Mibɔ frɛ frɛ ji accident bi shi Cape Coast ni ehia. Okpanyo bi, wɔfrɛ no Kpodo, trotro bi bumo no kpee ji — enimɔ le, oni le, ebe kasa, nibii. Ehii no shi no gboo — gboo ni eswia, yɛ eno kɛ ehii no teee. Eshi no, enimɔ gbɛ o — oni le, ebe kasa shi. Yɛ kɛ bo no faa kpee agbaa ji, nɔŋ bi le shiaa ne no. Ofainɛ, boa mi — nɔŋ yɛ nyɛ tsɔŋ baŋ? Eblɛ no naŋ hospital, wala? Chale, yɛ hia help teee."
70,"Ofainɛ, mibɔ phone ni hewalɛ ɛyɛ shi Takoradi market area. Me din bi Hamza, na me nua oblɛ Yakubu — obumo kɛ ejɛ market stall fɛɛ. Obi ŋmɛi fɛɛ ground la, nɔŋ oshi wo oni le — enimɔ gbɛ o. Ni hii mli kɛkɛ mli ŋmɛi akɔ shi, nɔŋ ɛnyɛ serious. Chale, yɛbɔ phone jebuɔ ni hewalɛ shikpon."
71,"Ofainɛ, mifɛ report accident bi ŋ happen fɛ Navrongo. Mii yɛ Muntari, mi frɛ frɛ ŋ mi neighbor Asare — shared taxi bi knock no kpee ŋ, enɔ bi o. Onyimi le, eni serious o, gboo bi hurt no ni ehii no fɛ he. Yɛ lɛlɛ ni maybe cut anaa bruise no, nothing broken, gbɛɛ yɛfɛ make sure ni doctor check no well well."
72,"Ofainɛ, mitsɔ phone frɛ frɛ shikpon accident bi bɔ ha Hohoe. Yɛ naaŋ Maame — oblɛ bi — articulated truck bi bɔ mo ni ekɛ kpee nuŋ, ebumo ko yɛ hewalɛ. Ni hii ji wɔ nyɛ ŋmɛi kɛ ŋmɛi gbɔɔ fɛɛ — oni le, kɛ enyɛ mli ehii ni, kɛ enyami ŋmɛi fɛɛ o. Kweku na mle ni, mitsɔ ni wɔ kɛ yɛ. Boa mi, chale — yɛ tsee ni yɛ nni etse eni bumo o, enyɛ shia."
73,"Ofainɛ, me pɛ sane ke enyɛ bii sane eba — oblɛ baako eko Mankessim kɛ, kpee Kumasi-Cape Coast kpee lɛ shishi. Mii dzin Vida, kɛ oblɛ lɛ dzin Abubakar — eni akɛ fifteen abi sixteen years old. Obumo ni wɔɔ kɛ kpee shishi lɛ — mishi ke edaa drainage channel abi sane biaa bɛyɛ hɛɛ — okɛ aba faako before ni wɔlɔi gbɛɛ lɛ tsɔɔ ooo. Oni hɔmɔ le nɛ, Nyɔŋmɔ na enyɛ shia, kɛ ni wɔɔ tsɔɔ ee, ogbɔ lɛ hii — esumo kɛ eni gbaa ni obɛ too ee, ni eyii le biaa ehii. Yɛ pɛ ke doctor biaa eba kɛ check o pɛpɛɛpɛ — oblɛ lɛ shakeshake kɔmɔ lee nɛ."
74,"Ofainɛ, something happen for Takoradi-Cape Coast highway, close to Anomabo. Obi kpɔɔ biaa wei, Selorm, kaa sumo ŋ — mi lɛ eni years eighteen or so. Ŋmɛi ne ŋmɛi-bii fɛɛ ehii mi nu kpee year obumo, ne shwe etsotso ŋmɛi pɛ, shikpon eni hɔmɔ ŋ ne ebi kasa kɛkɛ. Mii nye Akosua — mi lɛ mi ye dzii ŋ, accidents happen, ne nɔŋ biikpɔɔ fei kuu ni le ŋ akɛ. Boa mi! Yɛ jɔgbaŋŋ mli nu, oblɛ wei hia doctor ko ka."
75,"Hɛloo, yɛ dzɛ mi nyɛ Maame. Mifra frɛ oshɔ ni mli eko tɛ — ni ehii gbɔmɔ bi okɛ Kintampo, akɛ kpee ni eko Tamale. Eŋ dzɛ Wiredu. Nibii eko, nitsɔ ni amli gbeke — enwɔ ni ehii lɛ gbɔɔ — enwɔ ŋmɛi ni gbeke, enwɔ eŋ gbeke aswaa. Gbɔmɔ lɛ, enyɛ mi — oni bɔ wɔ shia lɛ ŋ, ebemɔ le kɛ ebumo akɛ shia lɛ. Shwe etsotso ŋmɛi ni — shwe etsotso ni gbeke. Ofainɛ, ni hii lɛ ehii gbɛ — onyɛ mi ehii o, oboa ni mli eko kɛkɛ wɔ pɛ, tsɔ ni amli bo eko ni ni gbemɔ gbɛɔ."
76,"Hɛloo, mi nyɛ Fuseini. Ofainɛ, accident bi hɛɛ Takoradi-Cape Coast highway shi, Anomabo kɛ shi. Gbɔmɔ bi, Owusu, kaa bi bumo no kɛ ebumo wɔ kpee shi kojojo. Eni tse shɛkɛ gboo anɔ gbɔ bi hii no, efee eniyɛ enihe ŋ wɔ nɔ fɛɛ — ni hii no naŋŋ. Owo le kɛ etse kɛ etsɔɔ yɛɛmi oblɛ nɔ, kɛ ebɔ ehii no kojojo, kɛ oniŋ le kɛ etse wɔ kɛ etsɔɔ yɛɛmi. Mɛ gbɛ no kpee shi, kɛ nii bi bɛ le kɛ no ni, shikpon. Chale, boa mi — ambulance nyɛ tɛ aba ntɛɛ. Ofainɛ!"
77,"Hɛloo, ofainɛ boa mi. Mii bii Kofi na accident ehii ŋ wɔ Takoradi-Cape Coast highway kɛ Anomabo faahe. Mii yɛ ni naŋ, ni name yɛ Elinam. Kaa bi hii ŋ wɔ kpee faahe — oba yɛ dɛbi, maybe sixteen years — ebumo kɛ ni gbɔɔ kɛ ni shi faahe ehii ŋ. Enyɛ serious condition o, oni le kɛ ehɔ shiŋŋ, jɛi ehii ni kakra. Maa jɛ frɛ report la. Yɛ tɔŋ wɔ accident place ɛnnɛ."
78,"Ofainɛ, bɔ eshɔ ŋ Techiman yi mli, mi hia bo. Mi nyɛŋ Efua, mi frɛ frɛ ɔfaatɛ mi Yaw tɔŋ — ebumo kpee ni dzɔ ŋ oshishi yi mli, yɛ ebi ŋmɛi wumo shi tɛtɛ. Oni le, shikpon ehi ehii mi gbɔkɛŋ, yɛ enɔkɛ confuse kɛ. Miiŋ hia ni bi oshishi kɛ akpɛ, chale — ni nyɛ Yaw onyɛ onii kɛ le wɔ."
79,"Ofainɛ, mɛ pɛ kɛ mɛ tɛ oshiɛ bi shi dɛbi bi Kpodo yɛ, ŋ yɛ wɔ yɛ fie shi kɛ Bolgatanga. Oblɛ no ebumo — minti shi ni ebɛ pɛ kɛ etsɔ ebɔ jɛ hɛɛ — ebumo faa lɛ akɛ gbɔ yɛ. Gbɔ no ekpɛkpɛ nɔ yɛ, akɛ ɔyɛ ni ehii ni hii wɔ lɛkɛ, kɛ ɔni le — oni le akɛ okasa. Oblɛ yɛ dɛbi kɛkɛ, ŋ tɔŋ mli bii ni kɔŋ shie fifteen, akɛ shwe mli lo mi ni gbɔ no ekpɛkpɛ — ekpɛkpɛ no enyɛ le o. Ofainɛ, obibi osa boa mi wɔ, kana boa mi? Kana tɛɛ mi ni mɛ yɛ shi?"
80,"Ofainɛ, mɛ bɛ report bɔɔ shi ni wɔ ye Techiman ni. Neighbor wɔ mi, Mensah, gbɔmɔ bi ŋ — oye work bi, mɛ suɔ ni oshwi bɔɔ bi kɛ oye farm work bi — nɛ ogbɔ ehii, gbɔ wɔ ŋ kɛ gbɔ wɔ ŋ kɔŋ, mɛ nyɛ exactly o. Amoah wɔ din wɔ mi, míí frɛ. Cut ŋ enɔ serious nɔ o — cut bi kpakpa ŋ, nɛ okpe shwaa hɛɛ. Kɛ shikpon gbɔmɔ, wɔ yɛ ni ɛsɛ wɔ frɛ. Oni le nɛ orɛst shwaa, kɛ wɔ pɛɛ nyɛ: ɛsɛ oba hospital bi, kɛ wɔ tumi clean ŋ wɔ fi kɛ?"
81,"Hɛloo, boa mi! Dɛbi bi — Mawuli, mɛ ba — pragyia bumo no afternoon yi Hohoe-Jasikan kpee dzɛ. Motor nɔ bumo no, ɛbumo fɛɛ, na ni hii ŋ gbɔ — ɔhii na ɔshɛ gbɔ no, kɛ onyemi le, fingers nɔ tumi yio small small. Miinɔ Boateng, mɛ si ŋ papa. Ofainɛ, yɛ frɛ atsɛ obi mli hɛ bi, ebi check no — nawotso oblɛ oni le, mi nyɛ hu atsɛ yɛ bɔ chances dɛbi dzɛ. Boa mi chale, frɛ ambulance bi mli shi!"
82,"Ofainɛ, mifɛ report bɔɔ shi kɛ ehiɛ Wa Central. Mi neighbor bi dɛbi, Amoah, aboboyaa bumo no kpee hɛɛ — enyɛ too long ago. Oblɛ no enyɛ young man, maybe eighteen abi nineteen years, na ni gboo ehii no wɔ accident hɛɛ — eswɛɛ na oni gbi tɔɔŋ kɛ gboo no hwɛ. Enimɔ gbɛ o — onyemi le — nɛɛ ehii ni wɔ shi, ehii ni wɔ gboo, na mɛɛ worri nnɔ pɛpɛ. Mi name enyɛ Fatima, na mifɛ shi kɛ onipa bi bi shi boa mi abi mɛ shiɛ bɔɔ tɛɛ mɛ sɔ. Ofainɛ, frɛ ambulance bi bi shi!"
83,"Hɛloo, mi nyɛ Nhyira. Mifra oblɛ bo tsɔɔ shi naŋ enyɛ Takoradi market area shikpon. Gbɔmɔ bi, Fuseini, boys kakra fɛɛ nɔ attack — wɔbu nɔ push, wɔku nɔ, ebumo. Nɔ gbɔ ehii nɔ wɔ fall bii lɛ, noko enimɔ le, enyo too serious o — swelling kakra bɔ cut kakra eko. Onipa bi wɔ kɛɛ nɔ ba fɛɛ oshi, oni resting abɔɔ. Noko chale, gbɔmɔ lɛ, mihu nɔ worry, eyɛ naanɔ mifra."
84,"Hɛloo, ofainɛ — mifra lɛ accident bi kɛ oshɔ Accra-Cape Coast road lɛ, somewhere Winneba side hɛ. Minaawe Akua, otsɔ trotro bi, kaa bi bumo gbɛ — ehii ni, kɛ ogboo hɛ. Ogboo ni swollen kɛ otsi fɛ gboo lɛ yɛ o. Obii oblɛ, maybe nineteen years, kɛ wɔni asɛ roadside lɛ hɛ, nɔŋ boa ni oshɔ. Miŋ Nii — mibɛ lɛ ni oshɔ aduane, nɔŋɔ mifra akɛ ɛnɛ wɔ, otsia oshi nii, nɔŋ bɛ attend to ni. Ofainɛ, frɛ ambulance mli bɛ oshɔ hɛ."
85,"Ofainɛ, mehe bɔ report ni yɛ le Hohoe-Jasikan road kɛ. Mi din bi Efua, eŋ oblɛ din bi Ibrahim — oba ko, teenager ko. Shikpon ehii ni — neck area ni, kɛ enimɔ too serious o, shikpon red red nɔ kɛ blister kɛkɛ bi le ŋ. Yɛ susu ŋ eni fi liquid hot bi ni kɛ ŋ. Oni le kɛ otumi kasa, kɛ yɛ pɛ doctor aba lɛ check ŋ wɔ fɛfɛ."
86,"Hɛloo! Boa mi! Boa mi! Grandma wɔ, Gifty, kaa bumo ni Tarkwa, hɛɛ fie wɔ shishi. Ogbɔmɔ ni, na kaa bumo ni ehii ni toobi — gboo wɔ breakmo na shwe etsotso pɛɛpɛɛ, too many. Mii nyɛ Kwabena, omi grandsɔŋ. Ojekoo, enyemi okɔ o — otsitsimi na ehii ni ewiemɔ shi, yɛ sɔɔ ni toobi. Ofainɛ, frɛ ambulance yi shi! Kɛ bo mii!"
87,"Ofainɛ, mɛ frɛ ɛnɛ ɛfɛ sɛ mi manɔ Alhassan, accident buɛ ni kpee dzɛ ɛnɛ. Ɔ lɛ ɔ gbɔ shi Darkuman ha kɛ OA taxi buɛ ni gbɔ ŋ kakra — Onyame dɔŋ, ɛyɛ no serious ama. Gbɔ ŋ ehii ni ŋ kakra, kɛ cut bi le ɛha, shikpon ɔ tsɔɔ le kɛ ɔ tsa tsa yɛ no kɛ ɔni le. Miiŋ nɔɔ le ɔ room ŋ kɛ ŋ. Ofainɛ, mɛ — Elinam — mɛ bii sɛ mɛ nyɛ nɔ ehiɛ nyɛ dɛŋ obuɛ ni, sɛ ɔfɛ ɔ kɛ clinic ha."
88,"Hɛloo, mitsɔ Ramatu, mi frɛ frɛ afi kɛ bɔɔ bi etsɔ Adjoa, abɔ Techiman, Kumasi-Sunyani road kɛ shi. Kpee nɔɔ shi, asɔ bi le, na obumo atsɔ ni ji — oye ji naɔ shi ye tsɔɔ, afi kɛ nudɔɔ lɛ bɔ shi kɛ kɔ ohe amɛ gbɛiŋ ye le. Oyiwala Nyɔŋmɔ, oniɔmɔ le kɛ jooji — onyemi le, eni hɔmɔ jooji. Ɛba, ŋmɛi ehii no kɛ susu, na ni fai bi ehii no. Enye awɔ tɛ mli, oyimi le kɛ kasa kɛ shishi — ɛba, miye hewalɔ, chale, na mibɔɔ frɛ frɛ kɛ shiakɔ: otsɔ doctor bi hia?"
