id,narrative_twi
46,"Me pawoɔ kyɛw, biribi bɔne yɛɛ ɛha na mehia sɛ meka ho asɛm. Me adamfo Muntari, wɔsɔɔ no wɔ Hohoe-Jasikan ɔkwan so, nnipa bi bɔɔ no. Wɔhyɛɛ no ti so na ne kɔn nso ɛyɛ no yaw, nanso ɔhunu ne ho na ɔreka asɛm daa, ɛno nti menyɛ hunu sɛ ɛyɛ den paa. Me din de Abubakar, na mene no naa yɛwɔ hɔ bere a na ɛba saa. Yɛhia obi mmra mmoa yɛn anaasɛ ɔmma yɛn nhunmu sɛ yɛnyɛ dɛn, efisɛ ɔnyɛ fine koraa."
47,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii me ha wɔ Axim. Me din de Felicia, na me tuu fam wɔ efie mu saa anɔpa yi — na meresiw firi stairs so na me nan slip. Ɛyɛ me nsa na ɛbubu, nanso ɛnyɛ den paa, ɛyɛ me yaw kakra na hweam ahyɛ so kakra. Metumi de no sɛ me pɛ, enti menyinoa sɛ me dompe atwa."
48,"Agoo, me pawoɔ kyɛw. Me nuabarima Kojo tuu fam saa anɔpa yi wɔ ha Wa Central, na ne nan yɛ no yaw. Ennyɛ hu paa — ɔnam kakra kakra, nanso ɔnam fɛw fɛw na ɔkaa sɛ ɛyɛ no yaw daa. Me na me frɛ no — me din de Amankwah. Ɔmpɛ sɛ ɔkɔ hospital, nanso me susu sɛ ɛsɛ sɛ wɔhwɛ no yiye. Me pawoɔ kyɛw, obi betumi akyerɛ yɛn deɛ yɛnsɛ yɛ?"
49,"Me pawoɔ kyɛw, biribi asi wɔ Hohoe-Jasikan ɔkwan so kakra nie. Abofra baako a wɔfrɛ no Selorm, ɔtene pragyia so na pragyia no dɔɔso fam wɔ ɔkwan no so hɔ. Me din de Sulemana, na meretra ɔkwan no so a na ɛsi. Abofra no hunu ne ho na ɔreka asɛm, nanso ɔreka sɛ ɛyɛ no yaw wɔ ne yam ne ne bronya mu — sɛ ne firi ntam hɔ. Ɛnyɛ hu paa nanso yɛdwene sɛ ɛsɛ sɛ obi ba na ɔhwɛ no."
50,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii ha Dormaa Ahenkro ɛnnɛ. Me adamfo Nhyira ne ɔbarima bi hyiaeɛ ntɛmntɛm aponkyerene ho fa adeɛ a wɔtɔɔ no sika ho, na ɔbarima no bueeɛ no ti afa na ɔhweeɛ no firii n'ananmu. Ɔantuu fam pintinn, nanso ne kɔn yɛ no yaw, na ɔkyerɛ sɛ ne ti rebobɔw pɛpɛɛpɛ. Me na me din de Muntari, na mewɔ hɔ a efi siiɛ. Yɛpɛ sɛ yɛbisa biribi faako wɔ ho, efisɛ wɔanyi gye mbom ɔyɛ no biribiara, na Nhyira no nyɛ ɔhaw no foɔ biara."
51,"Me pawoɔ kyɛw, biribi aba ha wɔ Dansoman no, ɛnyɛ ntem ara. Me yɔnko Araba reteɛ ɔkwan no so bɛn dwam no a tipper truck bɔɔ no, na ɔtuu fam yiye. Ne nan no ahunu na ɔntumi nnante so koraa, nanso ɔhunu ne ho na ɔrekasakasa. Me ne Vida, mewɔ ne nkyɛn seesei, na yehia obi mmoa yɛn ɛfiri sɛ yɛnnim sɛ ne dompe atwa anaa ɛnyɛ no."
52,"Me pawoɔ kyɛw, asɛm a ɛyɛ den paa bi asi ha Sunyani na mhia mmoa ntɛm ara. Me hɔho ba, Appiah, abofra kumaa, ɔtuu ɛnsuo mu na ɔtena hɔ yɛ akyɛ paa ansa na yɛatwɛn no aba. Sɛ yɛde no aba a, ɔnnyinagyina koraa na ne yafunu ne ne hyɛn ho huu sɛ ɛayɛ hwan na ɛtwitwa — sɛ biribi yɛ bone wɔ mu no. Appiah hɔm wɔ ho nanso ɛyɛ mmerɛw paa, na sɛ yɛfrɛ ne din a, ɔnnsua ase koraa sɛ ɛsɛ. Me pawoɔ kyɛw, soma mmoa mmra ntɛm ara — ne yaw yɛ den paa. Mene Maame, na mewɔ hɔ ne no reto hwe no ara seesei."
53,"Me pawoɔ kyɛw, ɛyɛ bɔne paa na ɛaba ha wɔ Bawku. Me yɔnko ba, Adjoa, ɔtuu fam fi mango dua kɛse bi so a ɛwɔ efie ɛdan anim no, na ɛkwan a ɔkoduu fam no, ehhh, ɛnyɛ kɛse koraa. Ne nsa no ayɛ kwasea-kwasea mpo na ɔsu dodo, na ɔntumi nnye no. Me din de Emefa, mete ne yɔnko efie, na ne maame nni ha, enti me na merefrɛ. Me pawoɔ kyɛw, yɛhia mmoa ntɛm paa efisɛ abofra no yɛ me yaw dodo."
54,"Me din de Ramatu. Merefrɛ fa biribi a ɛsii wɔ Tamale-Yendi ɔkwan so no ho, Savelugu nkyɛn. Aberante bi a wɔfrɛ no Asare — ɔreboaboa yoowa a ɛwɔ truck so firi ɔkwan nkyɛn no, na yoowo bi bi fɛɛ fɛɛ ba bubuuu no tɔkɔ so den. Ɔgyina hɔ na ɔrekan, nanso ɔse ne ahinanan yɛ no yaw na ɔha no ɔhome na. Me duu hɔ hwehwɛɛ won wɔ ɔkwan nkyɛn no, na wɔsrɛɛ me sɛ memmra mmɛbisa mmoa. Me pawoɔ kyɛw, soma ambulance mmra Savelugu nkyɛn Tamale-Yendi ɔkwan so no mmra boa no."
55,"Me pawoɔ kyɛw, mepɛ sɛ meka accident bi a ɛsii ha wɔ Cape Coast. Me hɔhoɔ ba, Afia, OA taxi bɔɔ no wɔ ɔkwan so, bebiara a ɛbɛn dwam no ho. Ɔyɛ abofra baa, ebia ɔwɔ mfe aduason ansa na ɛkɔ so kakra. Ebɔ no yɛɛ den koraa — ɔwɔ yaw kakra wɔ ne kɔn ho na ne ti so nso wɔ ntwa ketewa bi, nanso ɔhunu ne ho na ɔreka asɛm. Me din de Alhassan — mena me a mefrɛ, efisɛ ne maame no na ɔwɔ ne ho seesei, na wɔrepɛ taxi sɛ wɔkɔ clinic."
56,"Me pawoɔ kyɛw, me nua Asante, kar ahyia no wɔ Dormaa Ahenkro ha, ɛbɛn ɔkwan kɛseɛ no, na asɛm no yɛ dɛm paa. Ɔyɔnko no yɛ aberanteɛ ketewa, ɔton mfirihyia dunkorɔ anaa aduonu ho — na ne nan yɛ mpaem kɛseɛ — ɛte sɛ ne dompe atwa na mogya pɔtɔpɔtɔ retu paa. Mene Nii, megyina ne nkyɛn ha seesei, na nnipa apɔ ha bebree, nanso obiara nnim dɛn na wɔnyɛ. Me pawoɔ kyɛw, mmoa mmra ntɛm paa efisɛ ɔntumi nnyina koraa, na ɛyɛ no yaw paa."
57,"Agoo, me pawoɔ kyɛw, mede frɛ me ba Ofori ho asɛm. Ɛnnɛ awia yi, ogyaw no ha wɔ yɛn abusua fie ha Tamale. Ɔbɛtee ogya a wɔrewan ɛho, na nsu a ɛyɛ hye no hyeɛ ne kokoɔ ne n'yafunu ho — na ɛnyɛ den paa, n'ahoɔden nkatanim ara na ɛyɛ ɔdaadaa na ɛyɛ no yaw kakra. Me de, me din de Kofi — me ne ne agya. Abofra no, ɔreyɛ ahyɛase ɛha ɛha, na ɔansu su den bio saa. Nanso mepɛe sɛ mefrɛ mmisa sɛ yɛhwɛ, ɛsɛ sɛ yɛde no kɔ ɔyaresabea anaa yɛtumi ayɛ no aduro wɔ efie ara?"
58,"Me pawoɔ kyɛw, merefrɛ wɔn ho asɛm bi a ɛsii ha wɔ Nalerigu. Me din de Mensah, na meyɛ won fifo. Wɔn ba Elinam, ɔyɛ abofra ketewa, ɔtuu fam na ɔbubuuu ne nsa anaasɛ ne nan — menhunu pefee sɛ dɛn na ɛyɛ, nanso ɔkyeree no na ɔsuisuiee kaa kakra. Ɛnyɛ hu saa, nkesɛnkesɛ yaw anaa afoforɔ biara nni hɔ, nanso ne maame ne ne papa pɛe sɛ obi nhunu asɛm no, sɛ asɛm biara bɛba a. Ɛnnɛ yi, ɔteɛ ase kakra, ɔtumi gye ne ho adi, nanso ɔyɛɛ hu pii."
59,"Agoo! Me pawoɔ kyɛw, boa me! Me nanabarima, Nii Laryea, ogyaa no saa anɔpa yi ha Zebilla. Ɔrɛkɔ bɔ ne ho dɛm ogya ho, na ne ntama hyew, hyew no ne fam ne ne yafunu ho. Me din de Felicia, mene onipa a ɔrefrɛ yi. Ɔyɛ opanyin, enti yɛsuro paa, nanso hyew no nso anyini kɔɔ ase papa — ne ngogote ayɛ kɔkɔɔ na ɛwɔ baabi a apo apo rei rei no so. Me pawoɔ kyɛw, kyerɛ yɛn dɛ yɛbɛyɛ deɛn maa no ansa na yɛaduane no kɔ ɔyaresabea?"
60,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii ha wɔ Cape Coast. Me nua ba Boateng — ɔwɔ mfe aduɔkron benkum ho — ɔpɛɛ sɛ ɔtwa kwa soo a ɛhyɛ nsu wɔ ɔkwan nkyɛn no ho, na ɔsɛee kohwee mu. Nnipa bi a wɔwɔ hɔ de no firi mu ntɛm, Nyame adom. Ɔhunu ne ho na ɔrekan, nanso ne nsa bubuuu wɔ bere a wɔtaa no fi mu no — ɛhyeɛ na ɛyɛ no yaw paa. Me ne Alhassan, mewɔ ne nkyɛn seisei — obi bɛtumi aba hwɛ no yie anaa?"
61,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsi wɔ Cape Coast-Elmina ɔkwan so. Ɔbaa bi a wɔfrɛ no Memunatu, ɔretwi sikil wɔ ɔkwan ho a na kar bi a ɛfi ne akyi baa ɛboɔ no na ɔtuu fam kokooko. Ɔhyɛɛ ne bad so fam — seesei ne bad ahoahoa na ɔntumi yi no soro koraa. Me din de Baffour, na mefiri ɔkwan a ɛtoa so no reba na mahunu adwuma no nyinaa. Mmoa no mmra ntɛm, efisɛ yaw a ɔwɔ no yɛ duru paa."
62,"Me pawoɔ kyɛw, biribi asi fie ha wɔ Ashiaman, na mepɛ sɛ meka kyerɛ mo. Me neighbor Abubakar, mmarima bi tow no, na wɔbubuee no yie wɔ ne nsam so — ne nsa ahoboa, na ɔntumi nyi no yie. Mene Mensah, mete beaeno ho, na mhuu bi a esii no. Ɛyɛ no yaw, nanso ɔhunu ne ho, na ɔrekasakyi, ɛnyɛ sɛ obuaee anaa biribi te saa. Yehia obi mmra boa no, anaasɛ mommrɛ yɛn sɛ yɛnyɛ dɛn."
63,"Me pawoɔ kyɛw, biribi asi ha Goaso na mepɛ sɛ meka ho asɛm. Me din de Ofori, na merefrɛ ho fa ɔbaa bi ho — wɔfrɛ no Naa Dedei. Aboboyaa bɔɔ no wɔ ɔkwan so na ɔtuu fam yie. Ɔrekyekyere ne kɔn na ɔreka sɛ ne ti yɛ no yaw, nanso ɔhunu ne ho na ɔrekasakasa kakra. Ɛnyɛ den pa ara, nanso ɔhia mmoa efisɛ ɔntumi nyi ne kɔn yie."
64,"Agoo, me din de Edem. Me ba Amoah ne me yɛ adwuma wɔ efie ha wɔ Yendi, na nnadeɛ a yɛde yɛɛ adwuma no mu biara butuu ne nsa so kakra. Ɛnyɛ nohoa papa — ogya ketewa pɛ, nanso mogya a ɛfiri no mu no aye dinn dedaw. Ɔho yɛ no, na ɔnsuro kakra nko ara, nanso mepɛɛ sɛ me kɔ so brɛ mo ho asɛm no saa ara."
65,"Me pawoɔ kyɛw, merefrɛ efisɛ me nua ba Muntari wɔ ogya ahyɛ no, na mihunu sɛ ɛyɛ me hu paa n'aseɛ. Na yɛwɔ Kintampo beenkyɛn, wɔ ɔkwan a ɛkɔ Kumasi no so, na ɛhɔ na ɛbaa — ɔreboa biribi na ogya kaa ne honam, ne kɔnkɔn ne ne yafunu faako. Ɔyɛ abofra kumaa, efisɛ ɔwɔ mfeɛ ɔha nsia n'akyi, na ne honam wɔ hɔ no hyɛɛ hyɛɛ, ɛyɛ kɔkɔɔ na ɛre bɔ n'ahoɔden, nanso Onyame adom ɔhunu ne ho na ɔrekan asɛm. Mene Esi, ne sewaa, na mewɔ ne nkyɛn seesei — nanso yɛhia sɛ wɔkyerɛ yɛn deɛ yɛnyɛ ansa na yɛatwam akɔ ɔyaresabea."
66,"Yɛɛ, me din de Dzifa. Merefrɛ fa saa nhwɛso yi a ɛwɔ Cape Coast no ho. Hɔ na ɔbaa bi wɔ a wɔfrɛ no Naa — ɔyɛ adwini a ɔyɛ ntama ho adwuma. Ɔreyɛ adwuma wɔ ne sewing machine no so a ne nsa twa kwan maa kim no kɔ faa ne ntikuma mu. Mogya retu, nanso kakra ara — na ɔhunu ne ho, nanso ɔrewoɔwoɔ kakra efisɛ suro atia no. Yɛato ntama so no so nanso yɛpɛ sɛ yɛhunu sɛ ɛsɛ sɛ ɔba baabi na wɔhohoro no yiye na wɔkata so yiye anaa. Efisɛ ekyiri no dee, oguan no yɛ duru paa."
67,"Me pawoɔ kyɛw, mepɛ sɛ meka accident bi a ɛsii wɔ Suhum ha. Me yɔnko Asante — ɔyɛ opanyin — aboboyaa bɔɔ no wɔ ɔkwan so awiabere yi. Aboboyaa no bɔɔ no n'akyi fam, ne koko ne yafunu ho, na ɔtuu fam mabrɛ paa. Me din de Ramatu — mene onipa a ɔrefrɛ yi — na me kaa n'ase wɔ hɔ bere a ɛtoo no, na mede no kɔɔ ɔkwan ho. Ɔhunu ne ho na ɔreka asɛm, nanso ɛyɛ no yaw — ɛnyɛ den papa, nanso ɛhia sɛ ɔkɔhwɛ ɔdɔkota."
68,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii ɔpanyin bi ha wɔ Yendi. Me yɔnko a ɔte me nkyɛn no, Asare, ɔyɛ panyin paa — obi baa ne fie bɔɔ no, wɔbɔɔ ne basa no yie paa enti ɛhyew ama ɛaseɛ. Me din de Owusu, mete ne nkyɛn, na sɛ mitiee dede no a, mifii abɔ akyiri huu deɛ asii no. Ɔnwu kwan so, nanso ne basa no ɛyɛ no yaw paa na ɔntumi nyi no soro. Yɛhwehwɛ obi a ɔbɛba boa no, anaa ɔkyerɛ yɛn deɛ yɛnyɛ."
69,"Yɛfrɛ me Dela. Merefrɛ me pawoɔ kyɛw na mɛka accident bi a ɛsi wɔ ha Cape Coast. Ɔbarima kɔkɔɔ bi, wɔfrɛ no Kpodo, trotro bi bɔɔ no wɔ ɔkwan so — anka ɔwɔ n'afeha aduonu so anaa aduonu na ɛho kakra. Ne nan yɛ no yaw paa — ɛhyɛ na ɔse ɛyɛ no yaw pa ara — nanso ɔhunu ne ho na ɔrekan nsɛm. Yɛaduru so ama no tena ɔkwan afa so, na obi wɔ ne nkyɛn seesei. Me pawoɔ kyɛw, yɛhia mmoa — yɛnhunu sɛ yɛnyɛ dɛn afei, anaasɛ ɔkɔ ɔyaresabea."
70,"Me pawoɔ kyɛw, merefrɛ wɔ hɔ sɛ memfa nsɛm bi bɛka akyerɛ mo — biribi aba ha wɔ Takoradi dwam no ho. Me din de Hamza, na me nuabarima kumaa no, Yakubu — ɔhwee fam wɔ kiosk bi ho, ne tirim kaa fam pintinn. Nanso ɔhunu ne ho — ɔnto adwo, na ɔka sɛ ne kɔn akyi yɛ no yaw kakra. Eyi nso nyɛ kɛse — nanso yepɛe sɛ yɛmfa no mmra wɔ ho no ara pɛ."
71,"Me pawoɔ kyɛw, mepɛ sɛ meka accident a ɛsii ha wɔ Navrongo. Me din de Muntari, na merefrɛ efiri m'aberantenten Asare ho — shared taxi bɔɔ no wɔ ɔkwan so kakra yi ara. Ɔho yɛ, ɔnni yaw a ɛyɛ den, nanso ne nan buaa no kakra na ɛyɛ no yaw wɔ hɔ. Yɛdwene sɛ ɛbɛyɛ cut anaa bruise kakra, dompe ntuaa, nanso yɛpɛ sɛ obi hunu no sɛ ɔwɔ saa deɛn saa."
72,"Me pawoɔ kyɛw, mirefrɛ wɔ accident bi ho asɛm a ɛsi ha wɔ Hohoe. Me nuabaa Maame, ɔyɛ ɔbabaa ketewaa, articulated truck bi bɔɔ no wɔ ɔkwan so na ɔtuu fam yie paa. Baabi a ɛyɛ no yaw paa no yɛ ne kɔn ne ne tiri — ɔhunu ne ho, nanso ɔreka sɛ ɛyɛ no yaw na ɔntumi nsakra ne kɔn papa. Me ne Kweku na mewɔ ne nkyɛn seesei, na yehia mmoa ɛfiri sɛ yɛsuro sɛ yɛbɛyi no firi baabi a ɔwɔ no."
73,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii abofra bi ho, Mankessim nkyɛn, Kumasi ne Cape Coast ɔkwan so no. Me din de Vida, na abofra no din de Abubakar — ɔwɔ afeɛ du-enum anaa du-asia mu saa. Ɔtuu fam kɔɔ nsu mu a ɛwɔ ɔkwan nkyɛn hɔ — mete sɛ ɛyɛ nsu twa-ɔkwan anaa biribi saa — na ɔkɔɔ ase kakra ansa na nnipa a wɔwɔ hɔ no tuu no firi mu. Ɔhome yie seesei, na Nyame adom, nanso ne nsa abubu no bere a wɔreyɛ no no — ne nsa no apɔ, na ɔkyekyere no sɛ ɛyɛ no yaw paa. Yɛpɛ sɛ obi ba hwɛ no yie, efisɛ ɔkyinkyim daa ara."
74,"Me pawoɔ kyɛw, biribi asi wɔ Takoradi-Cape Coast ɔkwan so, Anomabo nkyɛn. Ɔbarima kɔkɔɔ bi a wɔfrɛ no Selorm, kar a abɔ no — mete sɛ ɔwɔ afeɛ aduɔwɔtwe kakra. Ɔtuu fam a ne tirim ne ne kɔn buaa ɔkwan so yiye, na mogya retu firii ne tirim, nanso ɔrehome na ɔka asɛm kakra. Me din de Akosua — me rekɔ na mhunuuu sɛ na ɛrekɔ so. Nnipa bi ahyia ne ho ɛberɛ yi. Me pawoɔ kyɛw, mommra mmoa yɛn ntɛm ntɛm, efisɛ abofra no hia sɛ onipa a ɔyɛ aduro nhu no."
75,"Me din de Maame, na merekɛ mmra hɔ sɛ merebrɛ wo nsɛm bi a ɛyɛ den paa, na ɛbaa opanyin bi ho fa Kintampo ho, wɔ ɔkwan a ɛkɔ Tamale no ho. Ne din de Wiredu, na nnipa bi tooɔ no so — wɔbuaa no yiye yaw paa wɔ ne ti ne ne kɔn so. Ɔyɛ opanyin, na ɔntumi nsi ne nan so, ɔda fam pɛ ara, na mogya retu firi ne ti mu. Me pawoɔ kyɛw, ɛnyɛ ɔhaw kakra — ɛyɛ den paa, ɔhia mmoa ntɛm ara ansa na biribi a ɛboro saa abɛba no."
76,"Me din de Fuseini, me pawoɔ kyɛw, mepɛ sɛ meka accident bi a ɛsii Takoradi ne Cape Coast ɔkwan no so, Anomabo nkyɛn. Opanyin bi, Owusu, kar bi bɔɔ no ma ɔtuu fam yie yie wɔ ɔkwan no so. Ɛbɛyɛ sɛ ne nan anaa ne nsa wɔ mpaem, efisɛ ɔntumi nnye no yie, na ɛyɛ no yaw paa — nanso ɔhunu ne ho na ɔreka kakra. Yɛayi no fi ɔkwan no so dedaw, na nnipa bi wɔ ne ho seesei, nanso ɛhia sɛ mmoa ba ntɛm ara. Me pawoɔ kyɛw, soma ambulance mmra ntɛm!"
77,"Agoo, me pawoɔ kyɛw, boa me. Me ba Kofi wɔ accident wɔ Takoradi ne Cape Coast ɔkwan so, Anomabo fitaa. Mene ne maame, me din de Elinam. Kar bɔɔ no wɔ ɔkwan ho — ɔyɛ aberantewaa, ɔfata mfe dumiensa enti — na ɔtuu fam, na ɔabubu ne nkyɛn, wɔ ne yafunu ne ne koma ho. Na ɔnte haw paa — ɔhunu ne ho na ɔnantew, nanso ɛyɛ no yaw tiaa, enti mepɛɛ sɛ meba abrɛ amu. Yɛwɔ beae no ho ara nnɛ."
78,"Me pawoɔ kyɛw, biribi ayɛ ha wɔ Techiman na mehia mmoa. Me din de Efua, na mefrɛ ho fa me nuabarima kumaa Yaw ho — ɔtuu fam ɔakyi yi wɔ efie mu na ne ti buee fam yiye. Ɔhunu ne ho, nanso ɔkeka se ne kɔn yɛ no yaw, na ne ho nsɛm no yɛ kakra strange. Yɛsuro efisɛ ɔnte ne ho sɛ ɛdɛn koraa seisei."
79,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a asi ha wɔ me ba Kpodo so wɔ yɛn fie compound no mu wɔ Bolgatanga. Abofra no reteɛ bɛn — menhunu sɛ ɔpɛɛ sɛ ɔnyɛ dɛn wɔ so hɔ — na ɔtuu fam, na ne nsa so da fam kɛse. Seesei a, ne nsa no ahuhuro, na ɔreka sɛ ɛyɛ no yaw paa, nanso ɔhunu ne ho na ɔrekakasakasa. Ɔyɛ abofra kɔraa — ɛka mfenhyia dumienu anaa dunnum — na mesuro efisɛ ahuhuro no nkɔ ase koraa. Me pawoɔ kyɛw, obi tumi ba boa yɛn anaa wobɛka me kyerɛ sɛ menyɛ dɛn?"
80,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii opanyin bi ho ha wɔ Techiman. Me yɔnko a ɔte me nkyɛn no, Mensah, ɔyɛ opanyin paa — na ɔreyɛ adwuma bi — mete sɛ na ɔrɛtwa biribi anaa na ɔreyɛ afuom adwuma bi — na ɔhwɛɛ ne nsa anaa ne basa so, minhu kakra. Amoah na wɔfrɛ me, mene ɔkorɔfo a mɛfrɛ yi. Ɛnyɛ hu papa saa, ntwa no yɛ ketewa na ɔnam yie, nanso efisɛ ɔno yɛ opanyin, yɛsuiɛ sɛ ɛsɛ sɛ yɛfrɛ. Ɔda ho asɛ seesei, nanso yɛpɛ sɛ yɛhunu sɛ ɔhia sɛ ɔmmra hospital anaa yɛbɛtumi ayɛ no aduro wɔ fie ara."
81,"Agoo! Me ba Mawuli — pragyia bɔɔ no nnora awia yi wɔ Hohoe-Jasikan ɔkwan so. Pragyia no bɔɔ no, ɔtuu fam, na ne nsa no yerɛ no — ɔsu resu na ɔde ne nsa so, nanso ɔtumi sesa ne nsa aseɛ kakra. Me din de Boateng, mene ne agya. Me pawoɔ kyɛw, mhwɛ yɛn — na ɛyɛ abofra, na mempɛ sɛ biribi bɛba akyire no. Ɔte sɛ ohoho kakra, nanso yɛmpɛ sɛ yɛgyae no saa ara. Me pawoɔ kyɛw, soma ɔhwɛfoɔ mmra ne ho nhwɛ."
82,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii ha wɔ Wa Central. Me yɔnko ba, Amoah, aboboyaa bɔɔ no wɔ ɔkwan so na enkyɛɛ. Ɔbaa no yɛ aberanteɛ, ebia ɔwɔ mfe dunwɔtwe anaa dunwɔkron, na ne nan yɛɛ no yaw paa wɔ accident no mu — ɛahyɛw na ɔntumi agyina so koraa. Ɔnhwee fam anaa biribi saa, na ɔhunu ne ho, nanso ɛyɛ no yaw kɛse paa na yɛsuro yiye. Me din de Fatima, na yɛhwehwɛ obi a ɔbɛba mmoa yɛn anaa ɔkyerɛ yɛn nea yɛsɛ yɛyɛ. Me pawoɔ kyɛw, soma ambulance mmra mmoa yɛn."
83,"Me din de Nhyira, na mefrɛ sɛ mebɛka biribi a ɛsi Takoradi dwam no ho nnɛ. Opanyin bi, Fuseini, mmarimanom bi buae no ato no stalls no ho — wɔpushii no na wɔbɔɔ no, na ɔtuu fam. Ne nsa hurt no wɔ fall no mu, nanso ɔho yɛ no, ɛnyɛ den paa — mogya kakra na ne nsa ahyhyɛ kakra. Obi a ɔwɔ ho no boaa no tenaa ase, na ɔreste saa ara nnɛ, nanso menyaa mmere hɔ na mefrɛ, efisɛ ɔyɛ opanyin na mesurae ne ho."
84,"Me pawoɔ kyɛw, mɛfrɛ sɛ mɛbɔ amaneɛ fa accident a ɛsii Accra ne Cape Coast ɔkwan so no ho — ɛbɛn Winneba fa baabi. Me nuabaa Akua na ɔwɔ trotro a kar foforɔ bɔɔ mu no mu, na wɔabubu no wɔ ne nan so — ne nan no ahyɛw, na ɔntumi nnante yie. Ɔyɛ abofra, ne mfeɛ bɛyɛ dunkorɔ, na ɛberɛ a yɛreka saa ara yi, nnipa bi a wɔwɔ ɔkwan nkyɛn no reboaɔ no. Me din de Nii, na meretwentwɛn kɔ ne nkyɛn saa ara yi, nanso mepɛɛ sɛ mɛfrɛ kan na obi bɛba ahwɛ no."
85,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a asɛe abofra bi ho fa Hohoe-Jasikan ɔkwan ho. Me din de Efua, na abofra no din de Ibrahim — ɔyɛ aberante kɛkɛ, anka ɔyɛ abofraba. Wɔahye no ne kɔn ho, nanso ɛnyɛ hu papa — ɛyɛ biribi kakra, ehia ho na wɔahu hɔ akyɛkyɛreɛ kakra bi. Yɛdwene sɛ nsuohyehye bi kaa no. Ɔhunu ne ho, na ɔtumi kasa, nanso yɛpɛ sɛ obi ba na ɔhwɛ no yie."
86,"Me pawoɔ kyɛw, me nana Gifty, kar bɔɔ no fam wɔ ɔkwan so ha Tarkwa yi — ɛbɛn yɛn fie. Ɔyɛ opanyin, na kar no bɔɔ no yiye paa — ne nan dompe atwa, na mogya pɔtɔpɔtɔ reretu firi no so. Me din de Kwabena — meyɛ ne nkonyimba. Me pawoɔ kyɛw, ɔntumi agyina ase koraa, na ɔsu su denn wɔ yaw no mu, yɛn hu suro ma no paa. Me pawoɔ kyɛw, soma ambulance mmra mprempren!"
87,"Me pawoɔ kyɛw, merefrɛ ɛfiri sɛ me yɔnko Alhassan aka accident wɔ ɔkwan so ɛnnɛ. Ɔresan aba fie wɔ Darkuman ha, na OA taxi bi bɔɔ no, nanso Onyame adom, ɛnyɛ den paa. Ne nsa yɛ no yaw kakra na ɛwɔ ntaaso bi wɔ hɔ, nanso ɔtena ase yiye na ɔhunu ne ho. Yɛwɔ ne dan mu ne no seesei, enti me, Elinam, mepɛɛ sɛ obiara bɛtumi hu sɛ deɛ asi no, sɛdeɛ ɛbɛyɛ a obehia kɔ clinic no, wɔbɛtumi aboa no."
88,"Me din de Ramatu, na merefrɛ efisɛ biribi asi abofra baa bi, Adjoa, ho — ɛbɛn Techiman, Kumasi-Sunyani ɔkwan no so. Hɔ na ɔkwan no nkyɛn wɔ sukyerɛ ketewa bi, na ɔtuu fam guu mu — ɔkɔɔ nsu ase kakra — nanso nnipa a wɔwɔ hɔ no twe no firi mu ntɛm. Afei deɛ, ɔhome yie, Onyame adom, nanso ne kɔn yɛ no yaw kakra, na ɔkaa sɛ ne ti yɛ duru. Ɛnyɛ den papa — ɔtena ase na ɔrekasa — nanso yɛsuro, ɛno nti yɛpɛɛ sɛ yɛbɔ amaneɛ na yɛbisa sɛ ɛsɛ sɛ onkɔ hu ɔdɔkono anaa dabi."
89,"Me pawoɔ kyɛw, biribi ayɛ Tamale-Bolgatanga ɔkwan so, Walewale fa no ho. Abofra bɛrɛ bi, Agyeman, nnipa bi bɔɔ no — wɔbubuiɛ no yie wɔ ne tiri ne ne kɔn so. Me din de Amankwah, na meretra ɔkwan no so a mhunuu sɛ ɛyɛɛ saa, enti mesiesiee me kaa no ho asɛe mmoa no. Ɔhunu ne ho na ɔreka kakra kakra, nanso ne kɔn fa no rehouhou, na ɛbɛyɛ sɛ ɛyɛ no yaw paa. Yɛhwehwɛ obi a obɛba anaa obi a obɛkyerɛ yɛn beae a yɛbɛfa no kɔ no ntɛm ntɛm."
90,"Me pawoɔ kyɛw, biribi bone paa aka abofra bi ha. Me din de Afia, na merefrɛ wo fa abofra bi ho — wɔfrɛ no Adjei. Ɔreyɛ adwuma na machine bi hyɛɛ ne nsa mu, ɛtwitwiw no fɛɛfɛɛ paa, na mogya pii repue. Yɛwɔ Axim ɔkwan so, Kokuom Half Assini. Abofra no yɛ me yaw paa na yɛsuro — me pawoɔ kyɛw, soma mmoa mmra ntɛm ara, efisɛ ne nsa no yɛ hu paa, paa ara."
